,0
0,0
1,13
2,0
3,0
4,20
5,0
6,20
7,9
8,9
9,20
10,0
11,9
12,11
13,11
14,11
15,8
16,5
17,11
18,1
19,11
20,11
21,11
22,15
23,5
24,18
25,18
26,18
27,18
28,18
29,18
30,18
31,18
32,18
33,18
34,19
35,18
36,17
37,19
38,19
39,19
40,24
41,19
42,1
43,19
44,13
45,20
46,19
47,19
48,20
49,20
50,20
51,20
52,20
53,20
54,20
55,20
56,20
57,20
58,20
59,20
60,14
61,7
62,7
63,12
64,7
65,16
66,14
67,7
68,16
69,21
70,2
71,16
72,22
73,22
74,22
75,22
76,22
77,22
78,22
79,22
80,22
81,14
82,22
83,22
84,23
85,23
86,23
87,9
88,9
89,23
90,23
91,20
92,23
93,20
94,9
95,23
96,5
97,3
98,19
99,24
100,6
101,24
102,13
103,13
104,19
105,10
106,13
107,3
108,1
109,24
110,24
111,13
112,19
113,5
114,19
115,1
116,5
117,1
118,24
119,1
120,16
121,2
122,9
123,2
124,7
125,2
126,2
127,2
128,2
129,0
130,2
131,2
132,12
133,13
134,3
135,3
136,14
137,21
138,3
139,14
140,24
141,21
142,5
143,15
144,4
145,4
146,4
147,19
148,18
149,19
150,9
151,18
152,4
153,4
154,20
155,18
156,5
157,5
158,5
159,5
160,5
161,11
162,18
163,1
164,11
165,17
166,5
167,11
168,17
169,6
170,6
171,6
172,6
173,11
174,6
175,6
176,5
177,6
178,6
179,6
180,6
181,7
182,7
183,7
184,7
185,14
186,7
187,7
188,7
189,15
190,7
191,7
192,8
193,8
194,8
195,18
196,8
197,7
198,8
199,8
200,13
201,8
202,5
203,8
204,9
205,9
206,9
207,9
208,9
209,9
210,20
211,20
212,9
213,24
214,9
215,9
216,10
217,24
218,10
219,3
220,3
221,3
222,3
223,10
224,10
225,10
226,10
227,10
228,12
229,12
230,12
231,12
232,12
233,12
234,12
235,12
236,12
237,12
238,12
239,12
240,13
241,13
242,24
243,13
244,13
245,24
246,13
247,13
248,13
249,22
250,13
251,13
252,14
253,1
254,6
255,5
256,3
257,14
258,14
259,14
260,14
261,14
262,14
263,6
264,7
265,15
266,15
267,7
268,15
269,23
270,20
271,9
272,15
273,7
274,9
275,9
276,22
277,16
278,16
279,16
280,16
281,16
282,16
283,10
284,16
285,16
286,16
287,16
288,17
289,17
290,13
291,17
292,17
293,9
294,17
295,0
296,17
297,17
298,17
299,20
