,0
0,6
1,7
2,8
3,7
4,7
5,7
6,7
7,0
8,7
9,7
10,1
11,6
12,6
13,11
14,10
15,10
16,11
17,8
18,10
19,10
20,2
21,8
22,6
23,6
24,11
25,6
26,8
27,8
28,8
29,11
30,0
31,2
32,11
33,6
34,2
35,6
36,8
37,6
38,2
39,8
40,7
41,0
42,7
43,0
44,7
45,0
46,0
47,7
48,7
49,7
50,0
51,9
52,9
53,2
54,1
55,1
56,8
57,8
58,6
59,0
60,0
61,7
62,9
63,11
64,0
65,0
66,11
67,9
68,11
69,9
70,11
71,11
72,11
73,11
74,11
75,11
76,11
77,11
78,11
79,11
80,2
81,11
82,11
83,11
84,11
85,11
86,11
87,11
88,11
89,11
90,11
91,7
92,9
93,1
94,1
95,1
96,1
97,7
98,1
99,7
100,1
101,0
102,1
103,1
104,1
105,9
106,0
107,1
108,1
109,0
110,8
111,0
112,2
113,2
114,3
115,8
116,2
117,2
118,0
119,0
120,3
121,8
122,7
123,0
124,1
125,0
126,8
127,7
128,11
129,7
130,0
131,9
132,8
133,9
134,8
135,9
136,9
137,8
138,8
139,8
140,8
141,9
142,9
143,8
144,8
145,8
146,8
147,8
148,8
149,9
150,8
151,11
152,8
153,11
154,10
155,9
156,8
157,8
158,8
159,0
160,8
161,0
162,7
163,7
164,7
165,7
166,7
167,7
168,7
169,7
170,7
171,8
172,8
173,8
174,8
175,8
176,8
177,8
178,8
179,8
180,8
181,0
182,7
183,11
184,9
185,9
186,9
187,9
188,9
189,9
190,9
191,8
192,6
193,8
194,8
195,8
196,8
197,8
198,8
199,6
200,8
201,8
202,11
203,11
204,11
205,11
206,11
207,11
208,10
209,10
210,8
211,1
212,8
213,8
214,1
215,8
216,1
217,8
218,8
219,8
220,8
221,1
222,7
223,9
224,1
225,9
226,9
227,9
228,9
229,2
230,1
231,8
232,9
233,0
234,11
235,11
236,5
237,11
238,11
239,4
240,6
241,7
242,1
243,8
244,7
245,1
246,0
247,0
248,7
249,0
250,9
251,8
252,8
253,8
254,8
255,8
256,8
257,8
258,8
259,8
260,8
261,8
262,6
263,8
264,11
265,8
266,8
267,8
268,8
269,10
270,8
271,8
272,8
273,8
274,8
275,8
276,8
277,6
278,6
279,8
280,8
281,7
282,7
283,7
284,7
285,7
286,7
287,7
288,7
289,7
290,7
291,7
292,8
293,8
294,8
295,8
296,8
297,8
298,8
299,8
300,8
301,8
302,0
303,9
304,11
305,7
306,11
307,9
308,11
309,0
310,11
311,7
312,8
313,6
314,10
315,10
316,8
317,10
318,8
319,10
320,6
321,8
322,4
323,4
324,11
325,9
326,9
327,11
328,9
329,11
330,3
331,9
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,9
343,9
344,11
345,0
346,0
347,0
348,11
349,11
350,0
351,5
352,11
353,11
354,11
355,5
356,11
357,11
358,11
359,11
360,2
361,11
