,0
0,0
1,0
2,0
3,0
4,0
5,2
6,2
7,2
8,0
9,6
10,12
11,12
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,4
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,13
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,2
71,0
72,9
73,6
74,0
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,6
83,6
84,6
85,6
86,6
87,6
88,6
89,6
90,6
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,13
99,6
100,6
101,6
102,6
103,6
104,6
105,11
106,6
107,6
108,6
109,10
110,6
111,6
112,6
113,7
114,6
115,10
116,6
117,6
118,0
119,10
120,6
121,6
122,3
123,1
124,8
125,6
126,8
127,6
128,6
129,6
130,6
131,10
132,6
133,6
134,7
135,7
136,7
137,6
138,6
139,6
140,6
141,10
142,6
143,6
144,8
145,8
146,6
147,6
148,6
149,6
150,6
151,6
152,6
153,6
154,6
155,6
156,6
157,6
158,8
159,6
160,6
161,6
162,6
163,6
164,6
165,6
166,6
167,0
168,6
169,6
170,6
171,6
172,6
173,6
174,6
175,6
176,6
177,6
178,6
179,6
180,6
181,6
182,6
183,6
184,13
185,6
186,6
187,6
188,6
189,6
190,6
191,6
192,13
193,13
194,6
195,8
196,6
197,0
198,0
199,0
200,6
201,6
202,6
203,6
204,6
205,6
206,6
207,6
208,6
209,6
210,7
211,7
212,7
213,7
214,7
215,7
216,7
217,7
218,7
219,7
220,7
221,8
222,7
223,7
224,7
225,7
226,7
227,7
228,7
229,7
230,11
231,7
232,7
233,7
234,7
235,8
236,8
237,9
238,8
239,7
240,7
241,7
242,7
243,7
244,7
245,7
246,7
247,7
248,7
249,8
250,8
251,7
252,8
253,7
254,7
255,7
256,7
257,7
258,7
259,8
260,7
261,7
262,7
263,7
264,12
265,1
266,8
267,7
268,7
269,7
270,7
271,7
272,7
273,7
274,7
275,7
276,7
277,8
278,7
279,13
280,7
281,8
282,8
283,7
284,7
285,7
286,7
287,7
288,1
289,7
290,7
291,7
292,7
293,7
294,7
295,7
296,7
297,7
298,7
299,10
300,7
301,7
302,7
303,7
304,7
305,7
306,7
307,8
308,1
309,2
310,7
311,7
312,7
313,7
314,7
315,7
316,7
317,7
318,8
319,7
320,7
321,7
322,7
323,7
324,7
325,7
326,7
327,7
328,7
329,7
330,7
331,7
332,7
333,7
334,7
335,7
336,7
337,7
338,7
339,7
340,7
341,7
342,7
343,7
344,7
345,8
346,8
347,8
348,8
349,8
350,8
351,8
352,12
353,8
354,0
355,8
356,8
357,8
358,8
359,8
360,8
361,8
362,8
363,8
364,8
365,8
366,8
367,12
368,6
369,8
370,8
371,8
372,8
373,8
374,8
375,8
376,8
377,8
378,8
379,3
380,8
381,8
382,3
383,8
384,8
385,10
386,3
387,8
388,11
389,8
390,10
391,8
392,8
393,8
394,8
395,10
396,10
397,10
398,8
399,7
400,11
401,8
402,11
403,8
404,8
405,8
406,8
407,8
408,8
409,8
410,8
411,8
412,8
413,8
414,8
415,8
416,8
417,8
418,8
419,8
420,8
421,8
422,8
423,8
424,8
425,6
426,8
427,12
428,8
429,8
430,0
431,10
432,9
433,8
434,5
435,5
436,8
437,8
438,8
439,8
440,8
441,9
442,8
443,8
444,9
445,9
446,8
447,8
448,8
449,8
450,8
451,8
452,8
453,8
454,8
455,8
456,8
457,8
458,8
459,8
460,8
461,8
462,8
463,8
464,8
465,8
466,8
467,8
468,8
469,8
470,8
471,8
472,8
473,8
474,8
475,8
476,8
477,9
478,9
479,6
480,9
481,9
482,9
483,9
484,9
485,9
486,9
487,9
488,9
489,12
490,9
491,8
492,12
493,1
494,1
495,1
496,9
497,9
498,9
499,10
500,10
501,9
502,7
503,9
504,9
505,9
506,9
507,9
508,9
509,9
510,9
511,9
512,9
513,9
514,9
515,9
516,9
517,9
518,5
519,4
520,9
521,9
522,9
523,9
524,5
525,2
526,9
527,5
528,9
529,9
530,9
531,9
532,5
