,0
0,0
1,5
2,5
3,3
4,3
5,2
6,5
7,6
8,3
9,3
10,1
11,4
12,5
13,2
14,4
15,0
16,4
17,4
18,4
19,2
20,2
21,2
22,4
23,1
24,2
25,2
26,2
27,4
28,0
29,2
30,3
31,2
32,0
33,1
34,2
35,1
36,0
37,4
38,2
39,2
40,1
41,5
42,4
43,1
44,3
45,4
46,5
47,4
48,4
49,2
50,4
51,3
52,0
53,4
54,0
55,4
56,2
57,4
58,4
59,1
60,3
61,3
62,3
63,5
64,4
65,2
66,0
67,4
68,2
69,2
70,4
71,2
72,1
73,1
74,3
75,4
76,3
77,4
78,2
79,2
80,0
81,2
82,4
83,0
84,2
85,4
86,3
87,5
88,1
89,2
90,5
91,0
92,5
93,2
94,1
95,4
96,4
97,2
98,0
99,1
100,0
101,4
102,6
103,4
104,5
105,6
106,5
107,0
108,5
109,4
110,3
111,5
112,4
113,2
114,6
115,4
116,4
117,4
118,6
119,4
120,5
121,2
122,4
123,4
124,0
125,0
126,1
127,6
128,2
129,2
130,0
131,2
132,3
133,2
134,4
135,0
136,1
137,6
138,5
139,5
140,5
141,4
142,4
143,4
144,4
145,6
146,3
147,2
148,2
149,4
150,3
151,0
152,4
153,0
154,6
155,0
156,1
157,4
158,6
159,2
160,6
161,5
162,0
163,2
164,2
165,4
166,2
167,6
168,0
169,5
170,0
171,1
172,5
173,2
174,5
175,3
176,3
177,2
178,0
179,1
180,2
181,5
182,2
183,0
184,2
185,1
186,1
187,2
188,5
189,1
190,0
191,0
192,4
193,4
194,0
195,4
196,1
197,4
198,2
199,1
200,0
201,4
202,0
203,0
204,1
205,3
206,2
207,4
208,5
209,1
210,1
211,4
212,4
213,4
214,2
215,5
216,1
217,0
218,2
219,3
220,4
221,3
222,3
223,4
224,4
225,4
226,0
227,4
228,5
229,5
230,2
231,2
232,2
233,3
234,5
235,0
236,2
237,3
238,5
239,2
240,1
241,2
242,3
243,3
244,2
245,6
246,5
247,1
248,6
249,2
250,2
251,0
252,0
253,4
254,2
255,1
256,0
257,4
258,1
259,2
260,3
261,5
262,4
263,1
264,6
265,1
266,2
267,4
268,0
269,1
270,3
271,5
272,0
273,4
274,1
275,3
276,1
277,0
278,0
279,4
280,2
281,4
282,0
283,1
284,2
285,0
286,5
287,5
288,3
289,1
290,2
291,4
292,1
293,0
294,6
295,2
296,6
297,2
298,0
299,5
300,4
301,1
302,2
303,3
304,4
305,2
306,4
307,1
308,2
309,4
310,1
311,4
312,2
313,4
314,3
315,0
316,5
317,6
318,0
319,3
320,1
321,0
322,5
323,5
324,3
325,4
326,2
327,3
328,0
329,4
330,2
331,0
332,4
333,6
334,3
335,0
336,4
337,0
338,4
339,2
340,4
341,4
342,6
343,0
344,2
345,1
346,5
347,2
348,0
349,1
350,3
351,5
352,3
353,1
354,2
355,6
356,3
357,1
358,4
359,4
360,3
361,6
362,3
363,2
364,1
365,0
366,4
367,4
368,2
369,1
370,3
371,6
372,0
373,4
374,4
375,6
376,4
377,2
378,0
379,4
380,4
381,1
382,5
383,2
384,6
385,4
386,1
387,4
388,2
389,0
390,3
391,3
392,2
393,2
394,5
395,2
396,5
397,0
398,3
399,1
400,4
401,5
402,5
403,3
404,4
405,1
406,5
407,2
408,2
409,4
410,5
411,2
412,1
413,2
414,5
415,4
416,0
417,4
418,2
419,5
420,6
421,1
422,0
423,5
424,2
425,0
426,5
427,6
428,5
429,1
430,2
431,0
432,4
433,2
434,0
435,0
436,3
437,5
438,2
439,1
440,1
441,3
442,2
443,4
444,4
445,5
446,3
447,4
448,2
449,3
450,4
451,6
452,5
453,1
454,0
455,2
456,0
457,3
458,3
459,4
460,4
461,4
462,3
463,3
464,1
465,2
466,4
467,3
468,4
469,2
470,2
471,1
472,4
473,5
474,2
475,0
476,2
477,0
478,0
479,2
480,2
481,2
482,3
483,5
484,2
485,0
486,5
487,0
488,4
489,4
490,4
491,5
492,1
493,0
494,0
495,4
496,2
497,0
498,5
499,2
500,0
501,4
502,0
503,4
504,5
505,5
506,2
507,4
508,4
509,3
510,3
511,5
512,2
513,1
514,4
515,4
516,4
517,3
518,2
519,4
520,5
521,2
522,3
523,2
524,2
525,2
526,0
527,1
528,6
529,6
530,6
531,6
532,4
533,2
534,2
535,1
536,3
537,0
538,1
539,4
540,5
541,4
542,2
543,4
544,0
545,2
546,2
547,4
548,4
549,4
