,0
0,2
1,4
2,4
3,4
4,7
5,0
6,7
7,6
8,2
9,7
10,5
11,3
12,1
13,6
14,8
15,0
16,10
17,0
18,2
19,5
20,4
21,7
22,3
23,3
24,0
25,4
26,6
27,7
28,5
29,1
30,8
31,8
32,4
33,8
34,8
35,8
36,2
37,4
38,9
39,10
40,1
41,10
42,2
43,4
44,6
45,4
46,8
47,10
48,10
49,7
50,9
51,5
52,1
53,2
54,3
55,10
56,8
57,10
58,6
59,6
60,5
61,5
62,8
63,7
64,0
65,3
66,1
67,8
68,2
69,7
70,5
71,2
72,4
73,4
74,8
75,8
76,2
77,5
78,7
79,3
80,10
81,3
82,8
83,9
84,6
85,4
86,10
87,10
88,5
89,4
90,5
91,6
92,8
93,7
94,6
95,9
96,4
97,9
98,9
99,2
100,10
101,3
102,5
103,3
104,7
105,8
106,9
107,9
108,0
109,4
110,9
111,7
112,3
113,6
114,8
115,4
116,0
117,2
118,2
119,8
120,4
121,3
122,2
123,7
124,3
125,4
126,1
127,5
128,9
129,0
130,5
131,10
132,1
133,5
134,2
135,0
136,8
137,9
138,1
139,6
140,2
141,10
142,8
143,5
144,5
145,3
146,10
147,2
148,4
149,8
150,10
151,0
152,0
153,10
154,2
155,7
156,3
157,0
158,9
159,0
160,8
161,10
162,1
163,4
164,0
165,1
166,1
167,3
168,2
169,1
170,5
171,1
172,3
173,0
174,6
175,6
176,0
177,4
178,2
179,5
180,0
181,8
182,6
183,7
184,8
185,5
186,3
187,4
188,3
189,5
190,5
191,7
192,2
193,6
194,5
195,6
196,4
197,7
198,4
199,2
200,6
201,3
202,8
203,3
204,0
205,2
206,5
207,8
208,0
209,6
210,3
211,1
212,3
213,4
214,9
215,1
216,1
217,10
218,4
219,6
220,7
221,10
222,2
223,1
224,0
225,9
226,1
227,1
228,10
229,1
230,2
231,3
232,6
233,3
234,5
235,9
236,6
237,5
238,7
239,3
240,7
241,6
242,2
243,2
244,2
245,1
246,5
247,2
248,10
249,10
250,4
251,10
252,9
253,10
254,10
255,1
256,2
257,8
258,7
259,6
260,2
261,1
262,9
263,1
264,9
265,1
266,10
267,2
268,10
269,8
270,2
271,5
272,10
273,4
274,9
275,3
276,0
277,1
278,3
279,0
280,9
281,10
282,10
283,0
284,10
285,8
286,10
287,9
288,2
289,2
290,10
291,7
292,10
293,4
294,6
295,5
296,8
297,8
298,6
299,10
300,10
301,0
302,3
303,10
304,6
305,2
306,0
307,10
308,6
309,4
310,0
311,9
312,10
313,5
314,0
315,0
316,0
317,5
318,10
319,6
320,10
321,8
322,7
323,10
324,1
325,1
326,4
327,3
328,8
329,7
330,6
331,1
332,8
333,1
334,8
335,9
336,3
337,4
338,10
339,5
340,7
341,6
342,10
343,9
344,1
345,7
346,5
347,4
348,4
349,5
350,5
351,9
352,1
353,4
354,9
355,3
356,9
357,1
358,8
359,10
360,0
361,8
362,3
363,6
364,0
365,3
366,10
367,5
368,5
369,6
370,10
371,7
372,9
373,9
374,3
375,2
376,6
377,7
378,8
379,9
380,0
381,2
382,6
383,4
384,9
385,3
386,0
387,0
388,2
389,6
390,9
391,5
392,4
393,4
394,9
395,3
396,9
397,4
398,10
399,9
400,0
401,2
402,0
403,6
404,7
405,0
406,8
407,10
408,6
409,10
410,2
411,9
412,8
413,6
414,4
415,3
416,2
417,2
418,3
419,0
420,5
421,7
422,3
423,5
424,8
425,3
426,2
427,1
428,1
429,7
430,8
431,4
432,1
433,4
434,7
435,9
436,4
437,1
438,3
439,7
440,5
441,10
442,3
443,4
444,3
445,1
446,5
447,2
448,0
449,7
450,0
451,3
452,7
453,9
454,4
455,6
456,0
457,10
458,1
459,6
460,10
461,7
462,5
463,9
464,5
465,10
466,1
467,6
468,5
469,4
470,5
471,4
472,2
473,9
474,8
475,3
476,9
477,4
478,7
479,4
480,4
481,6
482,3
483,4
484,3
485,4
486,7
487,1
488,6
489,2
490,6
491,3
492,0
493,1
494,6
495,1
496,0
497,7
498,7
499,1
500,9
501,4
502,1
503,8
504,5
505,3
506,2
507,0
508,7
509,8
510,0
511,0
512,6
513,0
514,4
515,9
516,9
517,2
518,10
519,9
520,3
521,5
522,4
523,2
524,9
525,4
526,8
527,8
528,0
529,10
530,8
531,9
532,10
533,6
534,0
535,9
536,9
537,3
538,2
539,6
540,6
541,2
542,0
543,9
544,2
545,9
546,6
547,7
548,8
549,1
550,4
551,8
552,8
553,4
554,7
555,2
556,10
557,6
558,6
559,6
560,3
561,10
562,8
563,8
564,6
565,3
566,5
567,6
568,9
569,0
570,9
571,6
572,0
573,4
574,2
575,1
576,1
577,6
578,0
579,0
580,0
581,9
582,5
583,10
584,1
585,7
586,7
587,3
588,7
589,2
590,7
591,10
592,3
593,0
594,9
595,9
596,7
597,6
598,6
599,2
600,7
601,8
602,10
603,8
604,2
605,7
606,9
607,5
608,9
609,10
610,4
611,8
612,3
613,5
614,5
615,6
616,5
617,5
618,4
619,9
620,10
621,9
622,6
623,6
624,4
625,9
626,7
627,1
628,0
629,8
630,6
631,1
632,0
633,9
634,7
635,0
636,3
637,2
638,8
639,0
640,7
641,6
642,4
643,5
644,10
645,7
646,8
647,1
648,10
649,2
650,9
651,5
652,1
653,7
654,2
655,9
656,7
657,2
658,0
659,6
660,6
661,2
662,5
663,7
664,2
665,5
666,8
667,8
668,5
669,3
670,10
671,5
672,1
673,10
674,9
675,0
676,10
677,7
678,6
679,10
680,5
681,5
682,6
683,6
684,7
685,9
686,5
687,4
688,10
689,8
690,4
691,5
692,7
693,2
694,10
695,7
696,7
697,2
698,3
699,9
700,3
701,1
702,2
703,5
704,9
705,10
706,8
707,3
708,0
709,4
710,8
711,2
712,0
713,8
714,4
715,10
716,0
717,7
718,7
719,6
720,2
721,10
722,5
723,0
724,6
725,4
726,8
727,9
728,4
729,3
730,4
731,2
732,7
733,7
734,7
735,7
736,10
737,4
738,5
739,9
740,4
741,1
742,2
743,9
744,7
745,10
746,9
747,10
748,3
749,10
750,6
751,0
752,3
753,7
754,6
755,6
756,3
757,3
758,1
759,3
760,7
761,9
762,0
763,1
764,8
765,5
766,7
767,3
768,5
769,8
770,10
771,5
772,9
773,1
774,3
775,7
776,2
777,2
778,5
779,1
780,4
781,7
782,0
783,7
784,4
785,1
786,1
787,0
788,4
789,3
790,7
791,2
792,3
793,6
794,10
795,4
796,2
797,5
798,1
799,7
800,1
801,9
802,7
803,2
804,6
805,8
806,2
807,10
808,10
809,10
810,1
811,5
812,7
813,0
814,7
815,1
816,5
817,10
818,10
819,9
820,8
821,10
822,8
823,1
824,0
825,2
826,5
827,3
828,0
829,1
830,7
831,2
832,9
833,1
834,0
835,9
836,9
837,9
838,4
839,7
840,5
841,3
842,0
843,2
844,2
845,1
846,0
847,0
848,4
849,7
850,5
851,6
852,4
853,6
854,7
855,1
856,3
857,8
858,4
859,1
860,6
861,8
862,3
863,0
864,7
865,9
866,0
867,5
868,9
869,9
870,7
871,7
872,6
873,6
874,6
875,4
876,2
877,0
878,3
879,10
880,9
881,5
882,6
883,1
884,3
885,8
886,9
887,4
888,6
889,7
890,4
891,0
892,1
893,1
894,1
895,1
896,3
897,4
898,7
899,7
900,4
901,2
902,9
903,10
904,4
905,5
906,6
907,4
908,7
909,9
910,8
911,6
912,8
913,0
914,0
915,3
916,10
917,5
918,10
919,4
920,3
921,3
922,0
923,5
924,1
925,0
926,9
927,5
928,9
929,2
930,4
931,2
932,0
933,0
934,3
935,6
936,1
937,8
938,9
939,0
940,3
941,7
942,3
943,0
944,9
945,3
946,1
947,1
948,1
949,2
950,4
951,5
952,5
953,3
954,9
955,10
956,6
957,1
958,3
959,1
960,1
961,8
