,0
0,2
1,4
2,9
3,4
4,5
5,0
6,7
7,8
8,2
9,9
10,5
11,3
12,1
13,6
14,8
15,0
16,10
17,0
18,1
19,9
20,9
21,5
22,3
23,2
24,0
25,4
26,6
27,2
28,10
29,8
30,8
31,8
32,4
33,8
34,8
35,8
36,2
37,5
38,9
39,0
40,2
41,6
42,2
43,4
44,6
45,9
46,8
47,10
48,10
49,5
50,9
51,8
52,1
53,2
54,3
55,6
56,9
57,6
58,10
59,9
60,5
61,8
62,8
63,8
64,0
65,3
66,1
67,6
68,2
69,9
70,5
71,2
72,8
73,7
74,8
75,8
76,2
77,3
78,9
79,2
80,10
81,2
82,8
83,9
84,10
85,4
86,8
87,6
88,5
89,4
90,8
91,6
92,6
93,7
94,8
95,9
96,9
97,9
98,9
99,2
100,0
101,1
102,5
103,2
104,4
105,9
106,9
107,9
108,0
109,4
110,4
111,4
112,3
113,8
114,9
115,4
116,0
117,2
118,2
119,8
120,4
121,10
122,2
123,5
124,3
125,4
126,2
127,5
128,7
129,0
130,5
131,6
132,3
133,5
134,2
135,0
136,8
137,9
138,1
139,6
140,2
141,6
142,8
143,2
144,5
145,9
146,10
147,2
148,4
149,8
150,0
151,0
152,0
153,6
154,2
155,9
156,2
157,0
158,9
159,0
160,8
161,6
162,1
163,7
164,0
165,2
166,2
167,2
168,2
169,1
170,5
171,1
172,3
173,0
174,8
175,8
176,5
177,9
178,2
179,8
180,0
181,8
182,8
183,8
184,8
185,2
186,2
187,7
188,3
189,5
190,7
191,4
192,2
193,6
194,5
195,8
196,9
197,5
198,4
199,2
200,6
201,2
202,9
203,3
204,10
205,2
206,7
207,9
208,10
209,6
210,3
211,1
212,6
213,4
214,9
215,1
216,3
217,6
218,9
219,6
220,5
221,8
222,2
223,3
224,5
225,4
226,2
227,3
228,0
229,1
230,2
231,9
232,8
233,3
234,5
235,4
236,6
237,5
238,7
239,2
240,4
241,8
242,2
243,2
244,2
245,1
246,5
247,2
248,10
249,10
250,7
251,7
252,4
253,8
254,10
255,1
256,2
257,8
258,5
259,6
260,1
261,1
262,9
263,1
264,9
265,1
266,6
267,3
268,6
269,9
270,2
271,5
272,10
273,9
274,9
275,3
276,1
277,2
278,3
279,10
280,9
281,6
282,8
283,0
284,10
285,10
286,8
287,9
288,2
289,2
290,10
291,4
292,6
293,4
294,10
295,5
296,8
297,8
298,6
299,10
300,8
301,0
302,2
303,0
304,8
305,2
306,1
307,0
308,6
309,4
310,0
311,9
312,8
313,1
314,10
315,0
316,0
317,5
318,0
319,6
320,10
321,0
322,9
323,10
324,3
325,1
326,4
327,2
328,9
329,4
330,6
331,3
332,6
333,1
334,8
335,9
336,3
337,4
338,0
339,7
340,7
341,6
342,10
343,9
344,1
345,5
346,0
347,7
348,4
349,5
350,10
351,7
352,1
353,4
354,9
355,3
356,9
357,9
358,8
359,1
360,2
361,9
362,2
363,0
364,10
365,3
366,0
367,5
368,5
369,10
370,10
371,4
372,4
373,4
374,6
375,2
376,9
377,4
378,8
379,9
380,0
381,2
382,8
383,9
384,9
385,2
386,0
387,0
388,2
389,6
390,9
391,5
392,4
393,9
394,4
395,2
396,9
397,4
398,10
399,9
400,0
401,2
402,0
403,6
404,5
405,1
406,8
407,6
408,8
409,0
410,1
411,4
412,8
413,6
414,9
415,2
416,2
417,2
418,2
419,0
420,5
421,8
422,6
423,2
424,9
425,3
426,2
427,1
428,1
429,9
430,6
431,4
432,1
433,4
434,7
435,9
436,9
437,1
438,3
439,9
440,10
441,10
442,2
443,4
444,2
445,3
446,10
447,2
448,0
449,4
450,0
451,3
452,7
453,9
454,4
455,9
456,1
457,0
458,1
459,6
460,6
461,1
462,8
463,9
464,5
465,10
466,1
467,8
468,5
469,4
470,5
471,9
472,2
473,9
474,9
475,2
476,9
477,4
478,4
479,4
480,7
481,6
482,10
483,7
484,2
485,4
486,7
487,1
488,8
489,1
490,9
491,2
492,0
493,1
494,3
495,1
496,0
497,9
498,5
499,1
500,9
501,4
502,1
503,6
504,10
505,2
506,2
507,0
508,4
509,8
510,6
511,1
512,8
513,0
514,9
515,4
516,9
517,3
518,8
519,9
520,2
521,7
522,9
523,2
524,9
525,4
526,8
527,10
528,0
529,6
530,8
531,4
532,10
533,6
534,0
535,4
536,9
537,3
538,2
539,3
540,6
541,2
542,0
543,9
544,2
545,9
546,3
547,2
548,10
549,9
550,4
551,8
552,8
553,9
554,7
555,2
556,8
557,8
558,6
559,8
560,2
561,10
562,8
563,3
564,6
565,2
566,5
567,6
568,9
569,0
570,9
571,0
572,1
573,9
574,2
575,1
576,1
577,0
578,0
579,0
580,10
581,9
582,5
583,10
584,2
585,7
586,9
587,3
588,9
589,2
590,8
591,6
592,3
593,0
594,4
595,9
596,4
597,6
598,0
599,2
600,7
601,3
602,10
603,8
604,2
605,7
606,4
607,5
608,9
609,8
610,9
611,8
612,3
613,5
614,5
615,6
616,5
617,5
618,7
619,4
620,10
621,9
622,6
623,2
624,5
625,9
626,8
627,1
628,0
629,8
630,6
631,1
632,2
633,9
634,7
635,0
636,3
637,2
638,8
639,0
640,4
641,6
642,9
643,4
644,10
645,7
646,9
647,1
648,10
649,2
650,9
651,7
652,2
653,4
654,2
655,9
656,4
657,2
658,0
659,8
660,10
661,2
662,5
663,8
664,2
665,5
666,8
667,8
668,5
669,2
670,10
671,5
672,1
673,8
674,9
675,0
676,6
677,7
678,6
679,9
680,5
681,9
682,6
683,6
684,7
685,9
686,2
687,4
688,0
689,8
690,4
691,5
692,9
693,2
694,10
695,4
696,4
697,2
698,2
699,9
700,3
701,3
702,2
703,5
704,4
705,8
706,6
707,3
708,0
709,9
710,10
711,2
712,0
713,8
714,9
715,10
716,0
717,4
718,4
719,6
720,2
721,10
722,10
723,0
724,8
725,5
726,8
727,4
728,8
729,3
730,7
731,2
732,7
733,2
734,7
735,4
736,0
737,7
738,8
739,2
740,9
741,1
742,2
743,7
744,4
745,8
746,9
747,8
748,2
749,8
750,6
751,0
752,2
753,7
754,6
755,8
756,2
757,2
758,1
759,2
760,7
761,4
762,0
763,1
764,8
765,10
766,7
767,9
768,5
769,8
770,0
771,8
772,9
773,1
774,1
775,7
776,2
777,2
778,5
779,1
780,4
781,2
782,0
783,5
784,9
785,9
786,2
787,0
788,9
789,2
790,4
791,2
792,2
793,8
794,6
795,4
796,2
797,5
798,1
799,9
800,2
801,4
802,9
803,2
804,8
805,0
806,2
807,6
808,8
809,8
810,9
811,5
812,7
813,0
814,8
815,1
816,8
817,8
818,6
819,4
820,8
821,10
822,9
823,4
824,0
825,2
826,5
827,3
828,0
829,2
830,4
831,2
832,9
833,1
834,7
835,9
836,9
837,9
838,4
839,7
840,8
841,3
842,0
843,2
844,2
845,9
846,0
847,0
848,4
849,7
850,8
851,3
852,9
853,8
854,7
855,1
856,3
857,8
858,4
859,1
860,9
861,9
862,2
863,0
864,7
865,9
866,0
867,8
868,9
869,9
870,8
871,7
872,0
873,6
874,8
875,4
876,2
877,5
878,1
879,8
880,9
881,10
882,8
883,2
884,3
885,9
886,9
887,4
888,3
889,7
890,9
891,0
892,1
893,3
894,3
895,3
896,2
897,4
898,5
899,9
900,2
901,2
902,9
903,0
904,4
905,7
906,6
907,9
908,4
909,9
910,7
911,10
912,8
913,0
914,0
915,3
916,8
917,5
918,8
919,7
920,3
921,9
922,10
923,7
924,1
925,0
926,9
927,5
928,9
929,2
930,4
931,2
932,0
933,0
934,3
935,10
936,3
937,3
938,9
939,0
940,2
941,4
942,2
943,0
944,9
945,2
946,1
947,1
948,1
949,2
950,4
951,7
952,1
953,9
954,4
955,6
956,0
957,1
958,3
959,2
960,1
961,9
