,0
0,1
1,1
2,2
3,0
4,2
5,2
6,0
7,0
8,2
9,2
10,0
11,2
12,0
13,0
14,2
15,2
16,0
17,1
18,2
19,0
20,0
21,0
22,2
23,0
24,0
25,0
26,1
27,0
28,1
29,1
30,1
31,2
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,2
40,2
41,1
42,0
43,2
44,1
45,0
46,0
47,2
48,1
49,1
50,2
51,1
52,0
53,1
54,2
55,0
56,0
57,2
58,0
59,0
60,0
61,2
62,0
63,0
64,1
65,1
66,0
67,0
68,0
69,1
70,0
71,0
72,1
73,1
74,0
75,0
76,1
77,1
78,0
79,1
80,1
81,1
82,1
83,1
84,1
85,2
86,1
87,0
88,0
89,2
90,2
91,2
92,0
93,0
94,2
95,2
96,2
97,2
98,2
99,1
100,1
101,0
102,1
103,1
104,1
105,0
106,2
107,2
108,0
109,0
110,1
111,1
112,2
113,2
114,2
115,1
116,0
117,1
118,1
119,2
120,1
121,0
122,0
123,0
124,0
125,2
126,2
127,2
128,2
129,0
130,0
131,1
132,2
133,0
134,0
135,0
136,2
137,1
138,2
139,1
140,2
141,0
142,1
143,2
144,0
145,0
146,1
147,1
148,1
149,1
150,0
151,0
152,2
153,1
154,0
155,1
156,1
157,0
158,2
159,0
160,1
161,1
162,0
163,1
164,0
165,1
166,1
167,1
168,1
169,1
170,1
171,2
172,0
173,0
174,0
175,2
176,0
177,0
178,2
179,2
180,2
181,2
182,1
183,1
184,0
185,2
186,2
187,2
188,2
189,2
190,2
191,0
192,0
193,2
194,0
195,0
196,0
197,2
198,0
199,1
200,0
201,2
202,2
203,2
204,0
205,2
206,1
207,2
208,2
209,0
210,2
211,1
212,2
213,1
214,1
215,0
216,2
217,2
218,2
219,1
220,1
221,2
222,1
223,2
224,1
225,2
226,2
227,1
228,2
229,2
230,2
231,2
232,1
233,2
234,1
235,1
236,1
237,2
238,2
239,0
240,2
241,1
242,1
243,0
244,0
245,0
246,1
247,1
248,2
249,0
250,2
251,1
252,0
253,1
254,1
255,0
256,1
257,2
258,1
259,2
260,0
261,0
262,2
263,2
264,1
265,2
266,1
267,0
268,0
269,2
270,2
271,0
272,2
273,1
274,2
275,0
276,0
277,0
278,2
279,0
280,1
281,2
282,2
283,2
284,2
285,0
286,2
287,0
288,2
289,1
290,2
291,0
292,1
293,0
294,0
295,1
296,2
297,0
298,1
299,0
300,1
301,0
302,0
303,2
304,0
305,0
306,2
307,0
308,2
309,1
310,0
311,1
312,2
313,0
314,2
315,0
316,2
317,2
318,0
319,0
320,0
321,2
322,0
323,2
324,2
325,1
326,1
327,1
328,1
329,2
330,2
331,1
332,2
333,2
334,2
335,2
336,2
337,1
338,1
339,0
340,0
341,2
342,2
343,0
344,0
345,2
346,1
347,2
348,0
349,1
350,0
351,2
352,0
353,2
354,0
355,2
356,0
357,2
358,2
359,2
360,0
361,0
362,2
363,0
364,0
365,1
366,0
367,2
368,1
369,0
370,1
371,1
372,0
373,2
374,2
