,0
0,9
1,19
2,5
3,19
4,10
5,11
6,1
7,3
8,18
9,11
10,12
11,24
12,14
13,21
14,18
15,7
16,4
17,5
18,22
19,4
20,11
21,9
22,4
23,21
24,19
25,5
26,22
27,19
28,20
29,11
30,21
31,14
32,19
33,11
34,11
35,11
36,11
37,21
38,3
39,9
40,22
41,0
42,11
43,12
44,16
45,12
46,7
47,19
48,11
49,14
50,19
51,0
52,19
53,0
54,20
55,3
56,17
57,23
58,16
59,11
60,15
61,19
62,0
63,9
64,11
65,11
66,4
67,19
68,9
69,19
70,9
71,19
72,6
73,4
74,2
75,21
76,5
77,20
78,10
79,11
80,9
81,23
82,11
83,23
84,3
85,19
86,18
87,23
88,0
89,21
90,19
91,3
92,11
93,23
94,11
95,15
96,9
97,21
98,17
99,11
100,9
101,19
102,14
103,6
104,21
105,6
106,19
107,15
108,11
109,1
110,19
111,19
112,1
113,12
114,15
115,23
116,21
117,5
118,11
119,23
120,5
121,21
122,20
123,21
124,5
125,19
126,13
127,5
128,11
129,23
130,19
131,11
132,3
133,11
134,2
135,1
136,1
137,19
138,24
139,24
140,19
141,11
142,24
143,4
144,3
145,21
146,3
147,1
148,11
149,19
150,18
151,5
152,19
153,11
154,11
155,11
156,19
157,11
158,11
159,12
160,20
161,19
162,7
163,20
164,18
165,11
166,19
167,16
168,11
169,7
170,22
171,8
172,11
173,23
174,1
175,11
176,3
177,19
178,11
179,12
180,11
181,7
182,23
183,5
184,20
185,3
186,11
187,21
188,19
189,11
190,3
191,19
192,5
193,23
194,21
195,11
196,16
197,19
198,11
199,19
200,0
201,11
202,3
203,19
204,1
205,3
206,21
207,19
208,16
209,2
210,11
211,7
212,11
213,11
214,19
215,20
216,1
217,11
218,23
219,11
220,1
221,19
222,10
223,11
224,24
225,11
226,11
227,22
228,11
229,18
230,8
231,1
232,7
233,11
234,5
235,6
236,3
237,18
238,3
239,13
240,23
241,11
242,11
243,12
244,19
245,14
246,23
247,23
248,3
249,11
250,21
251,21
252,9
253,11
254,3
255,17
256,16
257,17
258,8
259,1
260,21
261,3
262,3
263,21
264,15
265,19
266,11
267,17
268,11
269,10
270,19
271,12
272,11
273,9
274,3
275,12
276,22
277,16
278,0
279,11
280,20
281,11
282,3
283,11
284,21
285,18
286,21
287,16
288,20
289,1
290,4
291,24
292,11
293,19
294,12
295,22
296,8
297,11
298,3
299,15
300,21
301,14
302,23
303,21
304,23
305,19
306,11
307,19
308,11
309,21
310,11
311,20
312,11
313,11
314,19
315,10
316,9
317,8
318,5
319,2
320,22
321,9
322,7
323,10
324,19
325,11
326,23
327,21
328,11
329,19
330,6
331,19
332,24
333,21
334,1
335,7
336,4
337,13
338,13
339,22
340,18
341,14
342,1
343,1
344,21
345,19
346,21
347,11
348,0
349,4
350,23
351,3
352,15
353,5
354,11
355,21
356,8
357,7
358,7
359,11
360,11
361,16
362,9
363,9
364,21
365,11
366,19
367,21
368,21
369,19
370,5
371,5
372,8
373,15
374,11
375,12
376,7
377,3
378,18
379,0
380,1
381,18
382,11
383,11
384,19
385,19
386,24
387,6
388,19
389,1
390,8
391,1
392,17
393,2
394,11
395,11
396,19
397,21
398,11
399,11
400,23
401,21
402,4
403,12
404,7
405,21
406,12
407,11
408,3
409,0
410,9
411,11
412,5
413,23
414,11
415,6
416,24
417,23
418,1
419,11
420,11
421,19
422,19
423,21
424,11
425,10
426,13
427,5
428,19
429,11
430,11
431,1
432,0
433,11
434,16
435,11
436,13
437,11
438,11
439,21
440,11
441,16
442,7
443,13
444,19
445,19
446,11
447,11
448,3
449,19
450,23
451,23
452,11
453,11
454,2
455,22
456,17
457,22
458,10
459,21
460,18
461,14
462,21
463,9
464,19
465,19
466,2
467,3
468,9
469,19
470,21
471,11
472,20
473,14
474,14
475,19
476,11
477,0
478,11
479,11
480,5
481,5
482,3
483,14
484,11
485,12
486,5
487,17
488,12
489,11
490,1
491,11
492,19
493,6
494,3
495,18
496,5
497,22
498,11
499,6
500,11
501,19
502,11
503,13
504,6
505,12
506,1
507,21
508,0
509,3
510,21
511,19
512,20
513,19
514,3
515,1
516,21
517,5
518,10
519,11
520,11
521,19
522,0
523,11
524,11
525,1
526,3
527,14
528,24
529,21
530,11
531,3
532,11
533,4
534,1
535,1
536,1
537,2
538,14
539,21
540,11
541,19
542,5
543,11
544,1
545,2
546,11
547,19
548,4
549,21
550,5
551,4
552,19
553,23
554,19
555,21
556,22
557,23
558,9
559,19
560,5
561,23
562,19
563,19
564,17
565,19
566,11
567,8
568,19
569,13
570,11
571,9
572,9
573,21
574,7
575,11
576,6
577,14
578,11
579,11
580,16
581,3
582,23
583,21
584,11
585,23
586,5
587,7
588,23
589,13
590,6
591,19
592,22
593,21
594,11
595,19
596,5
597,21
598,1
599,11
600,23
601,11
602,3
603,1
604,11
605,11
606,11
607,12
608,11
609,2
610,11
611,11
612,12
613,3
614,11
615,21
616,11
617,21
618,17
619,21
620,11
621,12
622,18
623,1
624,11
625,9
626,1
627,11
628,19
629,14
630,23
631,1
632,16
633,11
634,21
635,5
636,10
637,11
