,0
0,9
1,11
2,5
3,19
4,11
5,14
6,11
7,5
8,16
9,11
10,7
11,19
12,14
13,21
14,13
15,18
16,23
17,5
18,0
19,14
20,11
21,9
22,14
23,21
24,19
25,5
26,21
27,21
28,19
29,11
30,21
31,6
32,11
33,11
34,11
35,10
36,11
37,21
38,11
39,9
40,14
41,11
42,7
43,11
44,16
45,2
46,7
47,18
48,11
49,22
50,17
51,14
52,23
53,11
54,13
55,19
56,23
57,23
58,16
59,11
60,15
61,19
62,24
63,23
64,11
65,5
66,4
67,11
68,11
69,19
70,11
71,19
72,7
73,23
74,21
75,5
76,6
77,13
78,10
79,11
80,16
81,23
82,11
83,2
84,0
85,19
86,19
87,23
88,13
89,2
90,16
91,3
92,11
93,23
94,5
95,13
96,9
97,21
98,19
99,5
100,23
101,19
102,9
103,19
104,21
105,6
106,23
107,24
108,11
109,2
110,7
111,19
112,19
113,2
114,11
115,23
116,19
117,5
118,11
119,23
120,5
121,21
122,14
123,21
124,5
125,19
126,2
127,5
128,19
129,23
130,3
131,11
132,9
133,11
134,7
135,14
136,6
137,9
138,6
139,21
140,19
141,11
142,19
143,23
144,11
145,21
146,19
147,1
148,11
149,6
150,18
151,5
152,24
153,11
154,14
155,11
156,24
157,6
158,11
159,7
160,13
161,19
162,7
163,23
164,19
165,11
166,19
167,2
168,11
169,7
170,19
171,7
172,14
173,23
174,14
175,11
176,19
177,19
178,11
179,11
180,11
181,7
182,23
183,16
184,11
185,11
186,5
187,7
188,11
189,11
190,19
191,21
192,5
193,23
194,21
195,11
196,16
197,9
198,11
199,19
200,23
201,14
202,11
203,19
204,14
205,16
206,21
207,19
208,16
209,2
210,19
211,7
212,11
213,2
214,11
215,5
216,22
217,11
218,23
219,21
220,1
221,19
222,10
223,11
224,9
225,11
226,11
227,19
228,11
229,23
230,8
231,19
232,7
233,11
234,5
235,23
236,8
237,23
238,5
239,14
240,23
241,11
242,24
243,7
244,14
245,5
246,23
247,23
248,2
249,5
250,21
251,21
252,9
253,9
254,8
255,19
256,19
257,19
258,23
259,1
260,16
261,9
262,15
263,21
264,23
265,7
266,11
267,19
268,11
269,1
270,19
271,6
272,11
273,9
274,10
275,7
276,19
277,14
278,23
279,11
280,23
281,21
282,11
283,19
284,2
285,20
286,21
287,21
288,13
289,5
290,11
291,19
292,11
293,9
294,23
295,24
296,11
297,11
298,11
299,15
300,21
301,14
302,23
303,5
304,23
305,19
306,11
307,19
308,19
309,21
310,17
311,18
312,5
313,11
314,19
315,23
316,11
317,16
318,5
319,2
320,24
321,19
322,7
323,10
324,19
325,11
326,23
327,21
328,11
329,11
330,19
331,7
332,19
333,21
334,2
335,3
336,23
337,19
338,21
339,19
340,21
341,6
342,1
343,2
344,21
345,7
346,23
347,0
348,16
349,10
350,23
351,19
352,11
353,24
354,11
355,21
356,11
357,7
358,0
359,6
360,11
361,16
362,6
363,21
364,5
365,0
366,19
367,16
368,2
369,19
370,5
371,6
372,23
373,19
374,11
375,6
376,7
377,11
378,5
379,14
380,15
381,19
382,11
383,5
384,11
385,24
386,24
387,6
388,19
389,14
390,19
391,5
392,19
393,7
394,11
395,11
396,17
397,23
398,11
399,11
400,23
401,21
402,19
403,7
404,7
405,21
406,6
407,11
408,8
409,3
410,21
411,11
412,6
413,23
414,11
415,6
416,19
417,23
418,2
419,0
420,11
421,14
422,17
423,21
424,11
425,11
426,13
427,24
428,16
429,11
430,11
431,9
432,7
433,11
434,15
435,11
436,17
437,14
438,11
439,21
440,11
441,16
442,7
443,12
444,15
445,23
446,11
447,11
448,8
449,19
450,23
451,7
452,11
453,11
454,11
455,19
456,19
457,21
458,19
459,8
460,0
461,21
462,2
463,5
464,16
465,19
466,2
467,11
468,24
469,19
470,2
471,19
472,13
473,17
474,11
475,19
476,11
477,17
478,11
479,11
480,5
481,11
482,11
483,19
484,14
485,6
486,6
487,11
488,6
489,11
490,1
491,11
492,19
493,6
494,19
495,20
496,21
497,21
498,11
499,0
500,11
501,19
502,21
503,17
504,21
505,21
506,21
507,24
508,19
509,24
510,18
511,19
512,19
513,19
514,11
515,1
516,5
517,11
518,5
519,7
520,11
521,19
522,6
523,11
524,11
525,21
526,8
527,19
528,19
529,16
530,2
531,19
532,11
533,19
534,15
535,11
536,1
537,2
538,16
539,21
540,11
541,19
542,6
543,11
544,6
545,2
546,11
547,16
548,19
549,21
550,5
551,11
552,7
553,23
554,19
555,23
556,19
557,23
558,9
559,19
560,23
561,23
562,19
563,21
564,9
565,19
566,19
567,14
568,19
569,17
570,19
571,24
572,9
573,21
574,19
575,7
576,6
577,16
578,6
579,11
580,19
581,11
582,23
583,21
584,22
585,23
586,19
587,7
588,23
589,11
590,6
591,17
592,24
593,21
594,21
595,19
596,11
597,21
598,8
599,11
600,23
601,11
602,11
603,23
604,11
605,11
606,11
607,6
608,11
609,21
610,11
611,14
612,7
613,11
614,11
615,21
616,19
617,21
618,5
619,2
620,11
621,7
622,6
623,13
624,11
625,13
626,19
627,11
628,7
629,19
630,23
631,11
632,16
633,3
634,2
635,5
636,11
637,11
