,0
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,1
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,1
50,1
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,1
59,1
60,0
61,1
62,0
63,1
64,0
65,1
66,0
67,0
68,0
69,0
70,1
71,0
72,1
73,1
74,0
75,0
76,0
77,0
78,1
79,1
80,1
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,1
108,1
109,1
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,1
118,1
119,0
120,1
121,0
122,1
123,1
124,1
125,1
126,0
127,0
128,0
129,0
130,0
131,1
132,1
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,1
143,0
144,0
145,0
146,0
147,1
148,0
149,1
150,1
151,0
152,0
153,0
154,1
155,1
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,1
165,0
166,1
167,1
168,0
169,0
170,1
171,0
172,0
173,0
174,0
175,0
176,1
177,1
178,1
179,1
180,1
181,0
182,0
183,0
184,1
185,0
186,1
187,0
188,0
189,0
190,0
191,0
192,1
193,0
194,0
195,1
196,1
197,0
198,0
199,1
200,0
201,0
202,1
203,1
204,1
205,0
206,0
207,0
208,0
209,0
210,1
211,0
212,0
213,0
214,0
215,1
216,1
217,1
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,1
228,0
229,0
230,0
231,0
232,1
233,0
234,1
235,0
236,0
237,0
238,1
239,0
240,0
241,1
242,0
243,0
244,1
245,0
246,0
247,0
248,1
249,0
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,0
263,0
264,1
265,0
266,1
267,1
268,0
269,0
270,0
271,0
272,0
273,0
274,1
275,1
276,1
277,1
278,0
279,1
280,0
281,0
282,0
283,0
284,1
285,0
286,1
287,0
288,0
289,0
290,0
291,0
292,1
293,0
294,1
295,0
296,1
297,1
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,1
306,1
307,0
308,0
309,1
310,1
311,1
312,0
313,0
314,0
315,0
316,1
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,1
336,0
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,1
345,0
346,0
347,1
348,0
349,0
350,0
351,1
352,0
353,0
354,0
355,0
356,0
357,0
358,1
359,1
360,1
361,1
362,0
363,1
364,0
365,0
366,1
367,0
368,1
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,1
385,1
386,1
387,1
388,0
389,1
390,1
391,1
392,0
393,1
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,1
412,0
413,0
414,0
415,1
416,1
417,0
418,0
419,1
420,0
421,0
422,1
423,0
424,0
425,1
426,0
427,0
428,0
429,0
430,0
431,1
432,0
433,1
434,0
435,1
436,0
437,0
438,1
439,1
440,1
441,0
442,0
443,0
444,0
445,1
446,0
447,0
448,0
449,1
450,0
451,0
452,0
453,1
454,0
455,0
456,0
457,1
458,0
459,0
460,0
461,0
462,1
463,1
464,0
465,1
466,1
467,1
468,1
469,0
470,0
471,1
472,0
473,1
474,0
475,0
476,0
477,0
478,0
479,1
480,1
481,0
482,1
483,1
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,1
495,0
496,0
497,1
498,1
499,0
500,0
501,0
502,0
503,0
504,0
505,1
506,0
507,1
508,0
509,1
510,0
511,1
512,0
513,0
514,0
515,1
516,0
517,1
518,1
519,1
520,1
521,0
522,0
523,0
524,1
525,0
526,1
527,0
528,0
529,1
530,1
531,0
532,0
