,0
0,5
1,5
2,3
3,0
4,3
5,1
6,5
7,4
8,3
9,3
10,3
11,5
12,6
13,4
14,1
15,2
16,6
17,3
18,2
19,1
20,1
21,1
22,5
23,2
24,1
25,2
26,1
27,2
28,0
29,1
30,3
31,2
32,0
33,2
34,4
35,0
36,0
37,6
38,0
39,1
40,3
41,0
42,5
43,4
44,3
45,2
46,6
47,5
48,3
49,4
50,3
51,3
52,2
53,1
54,5
55,5
56,4
57,4
58,5
59,5
60,3
61,4
62,3
63,6
64,2
65,1
66,5
67,0
68,1
69,1
70,4
71,4
72,6
73,5
74,5
75,3
76,4
77,1
78,4
79,3
80,4
81,3
82,6
83,1
84,5
85,5
86,3
87,3
88,1
89,4
90,5
91,4
92,4
93,5
94,3
95,6
96,5
97,3
98,2
99,2
100,1
101,4
102,0
103,2
104,3
105,6
106,5
107,1
108,4
109,4
110,4
111,6
112,3
113,1
114,4
115,1
116,6
117,3
118,5
119,5
120,4
121,5
122,3
123,2
124,4
125,4
126,3
127,3
128,2
129,1
130,2
131,2
132,2
133,2
134,3
135,2
136,6
137,0
138,3
139,3
140,5
141,5
142,4
143,3
144,3
145,1
146,4
147,1
148,1
149,3
150,1
151,4
152,2
153,1
154,3
155,1
156,2
157,0
158,2
159,1
160,6
161,6
162,0
163,2
164,3
165,3
166,6
167,5
168,0
169,6
170,2
171,1
172,5
173,2
174,4
175,4
176,5
177,3
178,0
179,4
180,2
181,5
182,0
183,1
184,4
185,5
186,3
187,2
188,4
189,1
190,0
191,1
192,6
193,5
194,1
195,5
196,1
197,3
198,4
199,2
200,1
201,4
202,0
203,2
204,5
205,1
206,1
207,4
208,4
209,0
210,1
211,4
212,1
213,3
214,3
215,6
216,2
217,3
218,1
219,3
220,6
221,4
222,4
223,6
224,3
225,6
226,0
227,6
228,2
229,5
230,2
231,0
232,2
233,5
234,2
235,0
236,1
237,3
238,4
239,4
240,1
241,5
242,4
243,3
244,4
245,5
246,3
247,1
248,6
249,4
250,0
251,4
252,2
253,6
254,2
255,3
256,2
257,4
258,4
259,1
260,4
261,5
262,2
263,4
264,5
265,3
266,0
267,6
268,0
269,3
270,4
271,5
272,3
273,4
274,3
275,2
276,0
277,1
278,1
279,5
280,3
281,5
282,5
283,1
284,1
285,5
286,0
287,2
288,3
289,3
290,2
291,3
292,3
293,0
294,6
295,3
296,2
297,3
298,4
299,5
300,5
301,2
302,1
303,3
304,3
305,2
306,2
307,3
308,2
309,5
310,5
311,6
312,4
313,3
314,3
315,0
316,5
317,2
318,4
319,6
320,1
321,0
322,3
323,3
324,1
325,4
326,5
327,4
328,4
329,1
330,5
331,0
332,4
333,4
334,6
335,3
336,4
337,4
338,6
339,2
340,3
341,1
342,4
343,4
344,5
345,5
346,6
347,1
348,2
349,3
350,3
351,3
352,2
353,5
354,6
355,4
356,1
357,4
358,3
359,3
360,4
361,4
362,5
363,2
364,1
365,4
366,6
367,4
368,0
369,5
370,3
371,0
372,2
373,4
374,3
375,4
376,5
377,0
378,4
379,4
380,3
381,2
382,4
383,4
384,2
385,6
386,2
387,4
388,6
389,5
390,0
391,5
392,2
393,2
394,5
395,4
396,2
397,0
398,6
399,1
400,0
401,0
402,0
403,0
404,4
405,1
406,2
407,2
408,6
409,4
410,5
411,1
412,5
413,1
414,6
415,4
416,0
417,2
418,1
419,5
420,5
421,5
422,4
423,4
424,2
425,0
426,1
427,6
428,1
429,0
430,4
431,4
432,6
433,4
434,0
435,4
436,4
437,4
438,2
439,6
440,5
441,1
442,2
443,4
444,2
445,3
446,2
447,4
448,2
449,2
450,5
451,2
452,2
453,1
454,1
455,1
456,5
457,3
458,3
459,1
460,6
461,3
462,1
463,4
464,4
465,4
466,2
467,3
468,5
469,2
470,2
471,6
472,6
473,5
474,1
475,5
476,5
477,5
478,0
479,3
480,4
481,6
482,1
483,0
484,4
485,1
486,5
487,1
488,2
489,6
490,3
491,1
492,5
493,2
494,0
495,5
496,1
497,1
498,5
499,1
500,0
501,2
502,0
503,5
504,3
505,2
506,1
507,0
508,3
509,2
510,2
511,6
512,1
513,1
514,4
515,2
516,5
517,6
518,3
519,0
520,0
521,3
522,2
523,2
524,5
525,1
526,3
527,2
528,6
529,4
530,5
531,6
532,1
533,2
534,1
535,0
536,3
537,5
538,4
539,4
540,1
541,4
542,5
543,6
544,0
545,1
546,1
547,5
548,4
549,3
