,0
0,0
1,5
2,5
3,5
4,3
5,2
6,5
7,6
8,0
9,5
10,3
11,4
12,5
13,1
14,4
15,5
16,5
17,5
18,4
19,2
20,4
21,2
22,5
23,3
24,2
25,2
26,1
27,1
28,2
29,1
30,3
31,3
32,0
33,1
34,3
35,1
36,1
37,4
38,2
39,3
40,3
41,5
42,5
43,1
44,3
45,4
46,5
47,5
48,5
49,1
50,5
51,5
52,0
53,6
54,0
55,6
56,2
57,6
58,6
59,1
60,3
61,3
62,3
63,5
64,1
65,5
66,0
67,0
68,1
69,2
70,5
71,2
72,3
73,1
74,3
75,4
76,3
77,4
78,2
79,4
80,0
81,2
82,6
83,0
84,2
85,4
86,5
87,5
88,1
89,2
90,5
91,0
92,5
93,5
94,3
95,4
96,5
97,2
98,0
99,1
100,0
101,5
102,6
103,4
104,5
105,6
106,5
107,0
108,5
109,5
110,3
111,5
112,3
113,5
114,6
115,1
116,6
117,4
118,6
119,6
120,5
121,5
122,3
123,6
124,0
125,0
126,3
127,6
128,1
129,2
130,0
131,1
132,2
133,2
134,5
135,2
136,3
137,6
138,6
139,5
140,6
141,5
142,5
143,6
144,3
145,6
146,3
147,2
148,2
149,5
150,5
151,5
152,6
153,0
154,5
155,1
156,1
157,4
158,6
159,2
160,6
161,5
162,0
163,2
164,4
165,5
166,4
167,5
168,6
169,6
170,4
171,1
172,5
173,3
174,5
175,3
176,2
177,3
178,0
179,0
180,5
181,5
182,2
183,0
184,5
185,1
186,3
187,3
188,5
189,2
190,0
191,0
192,4
193,6
194,0
195,4
196,1
197,5
198,2
199,1
200,0
201,3
202,0
203,0
204,1
205,3
206,3
207,5
208,5
209,1
210,3
211,5
212,6
213,5
214,2
215,5
216,1
217,3
218,2
219,3
220,6
221,3
222,2
223,5
224,6
225,6
226,0
227,6
228,5
229,5
230,2
231,2
232,1
233,3
234,5
235,6
236,5
237,3
238,1
239,2
240,1
241,1
242,3
243,3
244,2
245,6
246,5
247,1
248,6
249,5
250,1
251,3
252,0
253,6
254,2
255,1
256,0
257,4
258,3
259,2
260,5
261,5
262,6
263,3
264,5
265,3
266,5
267,4
268,6
269,3
270,2
271,6
272,0
273,5
274,1
275,3
276,3
277,0
278,3
279,4
280,3
281,6
282,0
283,1
284,5
285,0
286,5
287,5
288,5
289,1
290,2
291,3
292,1
293,0
294,6
295,3
296,6
297,1
298,0
299,5
300,2
301,0
302,5
303,0
304,6
305,1
306,6
307,3
308,6
309,6
310,3
311,4
312,6
313,5
314,0
315,6
316,5
317,6
318,0
319,3
320,6
321,0
322,5
323,5
324,3
325,4
326,2
327,3
328,3
329,4
330,3
331,0
332,4
333,5
334,3
335,0
336,4
337,1
338,6
339,2
340,4
341,4
342,6
343,5
344,1
345,1
346,5
347,1
348,0
349,3
350,3
351,5
352,3
353,3
354,3
355,6
356,4
357,0
358,5
359,6
360,3
361,6
362,4
363,2
364,2
365,0
366,4
367,6
368,3
369,1
370,3
371,6
372,0
373,5
374,6
375,6
376,5
377,2
378,0
379,3
380,5
381,1
382,5
383,5
384,6
385,6
386,0
387,4
388,2
389,3
390,5
391,5
392,1
393,2
394,5
395,2
396,5
397,0
398,6
399,1
400,4
401,6
402,5
403,3
404,4
405,1
406,5
407,1
408,3
409,5
410,4
411,1
412,1
413,5
414,6
415,5
416,0
417,6
418,3
419,5
420,6
421,1
422,0
423,5
424,2
425,0
426,5
427,6
428,5
429,0
430,2
431,0
432,6
433,1
434,2
435,0
436,3
437,5
438,1
439,2
440,3
441,3
442,2
443,4
444,5
445,5
446,3
447,5
448,2
449,3
450,4
451,6
452,5
453,1
454,0
455,1
456,0
457,3
458,3
459,6
460,6
461,5
462,0
463,3
464,1
465,3
466,3
467,3
468,6
469,3
470,3
471,1
472,6
473,5
474,1
475,3
476,1
477,0
478,0
479,2
480,3
481,2
482,3
483,5
484,1
485,2
486,5
487,0
488,4
489,5
490,5
491,5
492,1
493,6
494,0
495,5
496,3
497,0
498,5
499,5
500,0
501,6
502,0
503,4
504,5
505,5
506,3
507,6
508,6
509,3
510,3
511,5
512,2
513,3
514,5
515,4
516,6
517,3
518,3
519,4
520,5
521,5
522,3
523,2
524,5
525,4
526,4
527,1
528,6
529,6
530,6
531,1
532,1
533,2
534,1
535,1
536,3
537,0
538,1
539,4
540,5
541,4
542,3
543,4
544,1
545,1
546,3
547,5
548,6
549,5
