,0
0,2
1,4
2,4
3,5
4,5
5,10
6,2
7,6
8,4
9,4
10,7
11,3
12,1
13,8
14,9
15,0
16,10
17,0
18,5
19,9
20,4
21,5
22,1
23,3
24,0
25,7
26,6
27,4
28,0
29,8
30,8
31,8
32,4
33,8
34,6
35,8
36,2
37,5
38,4
39,10
40,2
41,6
42,2
43,4
44,6
45,4
46,6
47,6
48,10
49,5
50,7
51,5
52,1
53,2
54,3
55,6
56,8
57,7
58,6
59,1
60,7
61,7
62,9
63,7
64,0
65,1
66,1
67,10
68,2
69,9
70,5
71,2
72,7
73,7
74,6
75,6
76,2
77,3
78,9
79,3
80,10
81,7
82,8
83,9
84,6
85,4
86,6
87,10
88,7
89,9
90,7
91,10
92,6
93,7
94,8
95,9
96,7
97,9
98,9
99,3
100,7
101,1
102,5
103,3
104,1
105,8
106,9
107,9
108,0
109,4
110,4
111,9
112,1
113,10
114,8
115,5
116,10
117,2
118,1
119,6
120,4
121,8
122,2
123,7
124,1
125,5
126,1
127,5
128,6
129,0
130,5
131,10
132,3
133,5
134,2
135,0
136,8
137,9
138,4
139,8
140,3
141,10
142,8
143,5
144,7
145,6
146,10
147,2
148,4
149,8
150,0
151,0
152,10
153,10
154,2
155,9
156,2
157,0
158,7
159,0
160,10
161,10
162,4
163,5
164,10
165,10
166,3
167,2
168,2
169,1
170,5
171,4
172,3
173,10
174,6
175,6
176,0
177,9
178,2
179,5
180,10
181,8
182,6
183,7
184,8
185,5
186,8
187,7
188,3
189,5
190,5
191,9
192,2
193,6
194,5
195,6
196,7
197,7
198,4
199,2
200,6
201,1
202,8
203,3
204,10
205,7
206,7
207,8
208,0
209,10
210,3
211,1
212,8
213,4
214,9
215,1
216,1
217,8
218,4
219,10
220,7
221,6
222,2
223,3
224,0
225,7
226,2
227,1
228,10
229,3
230,1
231,3
232,10
233,1
234,5
235,7
236,6
237,5
238,7
239,2
240,4
241,6
242,2
243,2
244,2
245,1
246,5
247,2
248,10
249,0
250,4
251,6
252,4
253,7
254,10
255,1
256,2
257,8
258,5
259,8
260,1
261,10
262,9
263,1
264,8
265,1
266,10
267,3
268,10
269,8
270,2
271,5
272,10
273,7
274,9
275,3
276,0
277,5
278,3
279,6
280,4
281,10
282,10
283,0
284,10
285,10
286,10
287,7
288,2
289,2
290,10
291,4
292,6
293,4
294,5
295,5
296,10
297,8
298,10
299,10
300,10
301,0
302,3
303,10
304,10
305,2
306,0
307,8
308,6
309,7
310,0
311,9
312,6
313,5
314,0
315,10
316,8
317,7
318,0
319,6
320,10
321,0
322,9
323,10
324,3
325,1
326,9
327,7
328,8
329,4
330,6
331,3
332,6
333,1
334,8
335,9
336,7
337,4
338,10
339,7
340,4
341,5
342,6
343,9
344,1
345,5
346,0
347,5
348,4
349,5
350,5
351,7
352,1
353,4
354,4
355,3
356,9
357,8
358,8
359,6
360,10
361,8
362,2
363,0
364,0
365,1
366,0
367,5
368,2
369,5
370,10
371,4
372,4
373,9
374,7
375,8
376,1
377,7
378,6
379,9
380,0
381,2
382,8
383,9
384,7
385,3
386,0
387,0
388,5
389,6
390,9
391,5
392,4
393,9
394,4
395,2
396,7
397,4
398,10
399,9
400,0
401,2
402,0
403,10
404,7
405,8
406,8
407,6
408,6
409,8
410,5
411,4
412,8
413,10
414,4
415,2
416,2
417,2
418,1
419,0
420,5
421,7
422,8
423,5
424,8
425,9
426,2
427,1
428,1
429,7
430,8
431,4
432,4
433,4
434,7
435,9
436,9
437,4
438,7
439,7
440,6
441,10
442,3
443,7
444,3
445,1
446,0
447,2
448,0
449,4
450,0
451,3
452,7
453,7
454,4
455,10
456,0
457,0
458,5
459,6
460,10
461,6
462,10
463,9
464,7
465,4
466,1
467,10
468,5
469,4
470,5
471,4
472,2
473,7
474,3
475,2
476,9
477,4
478,7
479,7
480,7
481,6
482,5
483,7
484,3
485,4
486,7
487,1
488,10
489,1
490,8
491,3
492,0
493,1
494,7
495,1
496,0
497,9
498,7
499,1
500,7
501,9
502,1
503,6
504,3
505,3
506,2
507,0
508,7
509,8
510,0
511,0
512,10
513,0
514,5
515,7
516,8
517,3
518,7
519,9
520,3
521,7
522,4
523,2
524,9
525,4
526,8
527,3
528,0
529,6
530,6
531,9
532,10
533,6
534,0
535,9
536,6
537,3
538,2
539,7
540,6
541,2
542,0
543,2
544,2
545,9
546,7
547,7
548,8
549,9
550,4
551,6
552,8
553,9
554,4
555,2
556,9
557,8
558,6
559,6
560,2
561,10
562,3
563,8
564,6
565,3
566,5
567,10
568,9
569,0
570,8
571,0
572,0
573,9
574,2
575,1
576,1
577,0
578,0
579,0
580,3
581,7
582,5
583,10
584,3
585,7
586,7
587,7
588,7
589,2
590,7
591,10
592,1
593,0
594,6
595,9
596,4
597,8
598,5
599,2
600,7
601,8
602,8
603,8
604,2
605,7
606,7
607,5
608,9
609,10
610,4
611,8
612,3
613,7
614,5
615,8
616,5
617,7
618,7
619,9
620,10
621,7
622,6
623,10
624,4
625,9
626,7
627,1
628,0
629,8
630,10
631,0
632,0
633,9
634,4
635,0
636,3
637,2
638,6
639,0
640,4
641,0
642,9
643,4
644,10
645,7
646,8
647,5
648,10
649,2
650,9
651,7
652,3
653,4
654,2
655,9
656,9
657,2
658,0
659,6
660,8
661,2
662,5
663,7
664,3
665,5
666,9
667,8
668,7
669,1
670,10
671,6
672,1
673,8
674,7
675,0
676,10
677,7
678,6
679,8
680,5
681,4
682,9
683,6
684,7
685,7
686,5
687,4
688,10
689,6
690,4
691,5
692,9
693,2
694,10
695,9
696,7
697,2
698,3
699,9
700,3
701,3
702,2
703,7
704,7
705,6
706,6
707,3
708,0
709,7
710,8
711,2
712,8
713,8
714,4
715,10
716,0
717,9
718,4
719,6
720,3
721,10
722,5
723,0
724,8
725,7
726,7
727,7
728,7
729,3
730,5
731,5
732,7
733,7
734,7
735,4
736,10
737,7
738,7
739,2
740,7
741,1
742,5
743,7
744,9
745,10
746,9
747,6
748,3
749,6
750,10
751,0
752,3
753,7
754,6
755,6
756,3
757,7
758,5
759,3
760,7
761,4
762,10
763,1
764,6
765,0
766,7
767,2
768,5
769,8
770,0
771,8
772,9
773,5
774,1
775,7
776,2
777,2
778,5
779,4
780,4
781,4
782,0
783,7
784,7
785,4
786,2
787,0
788,7
789,3
790,4
791,3
792,3
793,6
794,10
795,4
796,2
797,5
798,1
799,9
800,3
801,1
802,9
803,7
804,8
805,0
806,5
807,10
808,10
809,3
810,9
811,7
812,7
813,0
814,7
815,4
816,7
817,6
818,6
819,7
820,8
821,10
822,8
823,7
824,0
825,2
826,7
827,9
828,0
829,3
830,4
831,2
832,4
833,5
834,8
835,9
836,9
837,7
838,4
839,7
840,7
841,3
842,0
843,2
844,2
845,4
846,0
847,0
848,9
849,7
850,7
851,3
852,4
853,8
854,7
855,4
856,3
857,8
858,4
859,1
860,6
861,8
862,3
863,0
864,5
865,9
866,0
867,7
868,9
869,9
870,7
871,7
872,10
873,6
874,6
875,4
876,2
877,0
878,1
879,7
880,2
881,5
882,6
883,4
884,1
885,8
886,10
887,4
888,7
889,7
890,4
891,0
892,1
893,3
894,1
895,3
896,1
897,9
898,5
899,9
900,9
901,2
902,9
903,10
904,4
905,7
906,6
907,9
908,4
909,9
910,7
911,0
912,8
913,0
914,0
915,3
916,10
917,5
918,6
919,7
920,3
921,9
922,8
923,0
924,1
925,0
926,9
927,5
928,9
929,3
930,7
931,2
932,0
933,0
934,3
935,8
936,3
937,6
938,7
939,0
940,2
941,4
942,2
943,0
944,9
945,3
946,1
947,4
948,3
949,2
950,4
951,7
952,5
953,8
954,9
955,8
956,6
957,1
958,3
959,1
960,1
961,8
