,0
0,5
1,5
2,2
3,5
4,5
5,5
6,5
7,3
8,5
9,2
10,5
11,5
12,1
13,2
14,1
15,3
16,1
17,3
18,1
19,1
20,5
21,2
22,5
23,3
24,5
25,5
26,5
27,5
28,5
29,2
30,5
31,1
32,1
33,2
34,5
35,3
36,5
37,5
38,1
39,5
40,2
41,5
42,2
43,5
44,1
45,1
46,5
47,2
48,5
49,0
50,5
51,1
52,1
53,5
54,2
55,5
56,2
57,1
58,1
59,1
60,5
61,2
62,5
63,5
64,2
65,5
66,2
67,5
68,2
69,5
70,5
71,5
72,2
73,5
74,2
75,4
76,3
77,2
78,5
79,1
80,5
81,5
82,5
83,1
84,5
85,5
86,1
87,5
88,3
89,1
90,5
91,5
92,5
93,5
94,5
95,1
96,5
97,1
98,1
99,5
100,5
101,5
102,1
103,5
104,5
105,5
106,2
107,5
108,4
109,2
110,1
111,1
112,2
113,5
114,1
115,1
116,4
117,1
118,2
119,5
120,1
121,5
122,5
123,1
124,5
125,5
126,1
127,5
128,5
129,3
130,5
131,5
132,1
133,2
134,5
135,5
136,1
137,2
138,5
139,2
140,5
141,5
142,3
143,1
144,1
145,5
146,1
147,5
148,1
149,4
150,1
151,5
152,1
153,2
154,1
155,1
156,5
157,1
158,5
159,1
160,5
161,5
162,5
163,1
164,2
165,1
166,3
167,1
168,4
169,1
170,1
171,2
172,1
173,1
174,1
175,2
176,1
177,2
178,1
179,1
180,5
181,3
182,5
183,1
184,3
185,1
186,1
187,1
188,1
189,4
190,3
191,2
192,1
193,2
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
