,0
0,1
1,12
2,24
3,16
4,11
5,10
6,19
7,5
8,5
9,11
10,12
11,19
12,11
13,21
14,4
15,8
16,23
17,5
18,11
19,14
20,11
21,19
22,14
23,1
24,9
25,11
26,21
27,21
28,19
29,12
30,21
31,6
32,11
33,11
34,11
35,11
36,11
37,2
38,11
39,16
40,10
41,0
42,19
43,12
44,16
45,2
46,0
47,18
48,11
49,1
50,11
51,11
52,23
53,14
54,13
55,19
56,23
57,23
58,3
59,11
60,5
61,19
62,12
63,13
64,11
65,11
66,4
67,11
68,11
69,23
70,12
71,19
72,7
73,23
74,21
75,14
76,17
77,23
78,10
79,11
80,15
81,23
82,11
83,2
84,0
85,19
86,3
87,23
88,13
89,2
90,16
91,3
92,11
93,23
94,11
95,5
96,19
97,23
98,23
99,11
100,24
101,7
102,9
103,19
104,2
105,11
106,23
107,14
108,17
109,1
110,11
111,5
112,19
113,2
114,11
115,23
116,19
117,5
118,11
119,23
120,5
121,21
122,1
123,0
124,5
125,19
126,16
127,24
128,24
129,23
130,0
131,0
132,19
133,11
134,19
135,23
136,14
137,18
138,6
139,21
140,7
141,11
142,21
143,23
144,11
145,2
146,19
147,1
148,11
149,6
150,10
151,5
152,4
153,11
154,7
155,11
156,24
157,11
158,11
159,11
160,23
161,23
162,7
163,23
164,21
165,11
166,19
167,16
168,11
169,7
170,21
171,19
172,14
173,7
174,1
175,1
176,19
177,19
178,11
179,12
180,11
181,7
182,23
183,16
184,1
185,11
186,11
187,19
188,6
189,11
190,19
191,5
192,5
193,23
194,2
195,11
196,16
197,19
198,11
199,19
200,23
201,14
202,11
203,19
204,1
205,16
206,21
207,19
208,15
209,2
210,19
211,7
212,11
213,2
214,11
215,5
216,1
217,11
218,23
219,2
220,1
221,19
222,20
223,12
224,18
225,11
226,11
227,19
228,23
229,23
230,24
231,11
232,7
233,11
234,11
235,23
236,19
237,23
238,23
239,11
240,23
241,11
242,24
243,21
244,14
245,5
246,14
247,23
248,1
249,1
250,21
251,2
252,9
253,9
254,19
255,23
256,19
257,19
258,23
259,1
260,16
261,4
262,19
263,21
264,23
265,19
266,11
267,19
268,11
269,11
270,19
271,11
272,1
273,9
274,7
275,12
276,7
277,11
278,23
279,12
280,23
281,2
282,3
283,19
284,2
285,20
286,21
287,21
288,16
289,5
290,11
291,5
292,11
293,9
294,12
295,24
296,11
297,11
298,11
299,15
300,0
301,1
302,23
303,1
304,23
305,19
306,11
307,19
308,19
309,2
310,11
311,19
312,11
313,11
314,19
315,23
316,11
317,16
318,5
319,21
320,0
321,19
322,7
323,12
324,19
325,11
326,11
327,21
328,11
329,11
330,19
331,19
332,16
333,21
334,2
335,0
336,23
337,12
338,0
339,13
340,21
341,1
342,1
343,2
344,21
345,23
346,23
347,24
348,19
349,19
350,4
351,19
352,11
353,24
354,11
355,2
356,1
357,12
358,7
359,3
360,11
361,18
362,0
363,21
364,15
365,24
366,2
367,16
368,2
369,19
370,5
371,1
372,23
373,19
374,11
375,14
376,7
377,11
378,5
379,0
380,19
381,3
382,11
383,11
384,3
385,23
386,24
387,6
388,19
389,0
390,21
391,5
392,19
393,2
394,24
395,11
396,11
397,23
398,19
399,11
400,23
401,2
402,19
403,2
404,0
405,21
406,12
407,1
408,11
409,3
410,20
411,11
412,11
413,23
414,11
415,6
416,22
417,23
418,12
419,24
420,11
421,0
422,11
423,19
424,11
425,1
426,12
427,3
428,21
429,11
430,11
431,0
432,0
433,11
434,16
435,19
436,5
437,11
438,11
439,21
440,11
441,15
442,7
443,12
444,19
445,21
446,11
447,11
448,19
449,9
450,23
451,7
452,11
453,11
454,12
455,11
456,10
457,21
458,7
459,18
460,19
461,21
462,21
463,5
464,21
465,15
466,2
467,11
468,24
469,19
470,2
471,19
472,12
473,11
474,11
475,19
476,11
477,18
478,11
479,11
480,11
481,11
482,11
483,19
484,14
485,12
486,14
487,11
488,11
489,11
490,1
491,11
492,19
493,23
494,15
495,20
496,0
497,21
498,11
499,6
500,11
501,7
502,21
503,5
504,1
505,12
506,21
507,21
508,23
509,14
510,18
511,16
512,0
513,19
514,11
515,1
516,3
517,5
518,5
519,0
520,0
521,19
522,0
523,11
524,12
525,21
526,0
527,19
528,19
529,16
530,2
531,19
532,11
533,24
534,1
535,11
536,1
537,2
538,16
539,21
540,11
541,21
542,11
543,11
544,14
545,2
546,0
547,23
548,11
549,2
550,5
551,11
552,7
553,23
554,19
555,23
556,3
557,23
558,9
559,19
560,14
561,23
562,19
563,21
564,21
565,15
566,11
567,19
568,19
569,3
570,19
571,11
572,4
573,2
574,19
575,7
576,6
577,16
578,1
579,11
580,5
581,3
582,23
583,21
584,3
585,10
586,16
587,23
588,23
589,11
590,6
591,11
592,24
593,21
594,11
595,19
596,11
597,21
598,23
599,1
600,23
601,11
602,11
603,23
604,11
605,11
606,11
607,12
608,11
609,21
610,11
611,14
612,19
613,14
614,11
615,5
616,19
617,1
618,18
619,21
620,11
621,7
622,23
623,10
624,11
625,1
626,11
627,11
628,11
629,19
630,2
631,1
632,16
633,0
634,2
635,5
636,11
637,6
