,0
0,4
1,7
2,8
3,7
4,7
5,7
6,1
7,7
8,7
9,0
10,1
11,10
12,10
13,11
14,10
15,10
16,11
17,8
18,10
19,4
20,2
21,8
22,10
23,10
24,10
25,10
26,6
27,8
28,10
29,5
30,2
31,2
32,11
33,5
34,10
35,10
36,5
37,10
38,1
39,8
40,7
41,7
42,7
43,7
44,7
45,7
46,7
47,7
48,7
49,7
50,0
51,1
52,1
53,9
54,1
55,1
56,9
57,8
58,9
59,0
60,8
61,0
62,2
63,11
64,11
65,0
66,11
67,9
68,11
69,5
70,3
71,11
72,3
73,5
74,11
75,11
76,11
77,11
78,11
79,4
80,2
81,11
82,2
83,11
84,11
85,11
86,11
87,11
88,3
89,9
90,9
91,0
92,9
93,1
94,1
95,1
96,1
97,1
98,1
99,2
100,1
101,3
102,1
103,1
104,1
105,9
106,9
107,9
108,9
109,0
110,9
111,2
112,2
113,1
114,3
115,8
116,2
117,6
118,9
119,2
120,10
121,8
122,7
123,7
124,6
125,1
126,8
127,7
128,3
129,1
130,8
131,2
132,8
133,8
134,8
135,9
136,9
137,6
138,6
139,8
140,8
141,5
142,5
143,8
144,5
145,6
146,6
147,6
148,6
149,5
150,6
151,3
152,6
153,3
154,6
155,9
156,8
157,8
158,8
159,10
160,8
161,0
162,7
163,7
164,7
165,7
166,7
167,7
168,7
169,0
170,7
171,8
172,8
173,8
174,8
175,8
176,8
177,8
178,1
179,8
180,8
181,11
182,0
183,0
184,1
185,8
186,1
187,1
188,9
189,1
190,1
191,8
192,6
193,8
194,10
195,8
196,10
197,10
198,8
199,5
200,10
201,8
202,5
203,10
204,11
205,11
206,2
207,11
208,10
209,5
210,8
211,1
212,1
213,1
214,1
215,1
216,8
217,1
218,8
219,1
220,9
221,1
222,0
223,1
224,1
225,1
226,9
227,9
228,9
229,9
230,1
231,9
232,5
233,9
234,2
235,11
236,2
237,6
238,2
239,6
240,2
241,0
242,1
243,8
244,7
245,1
246,4
247,7
248,7
249,7
250,1
251,6
252,6
253,6
254,5
255,6
256,6
257,6
258,6
259,10
260,10
261,10
262,6
263,6
264,10
265,6
266,5
267,5
268,6
269,5
270,6
271,6
272,5
273,5
274,6
275,5
276,6
277,6
278,6
279,6
280,5
281,7
282,7
283,7
284,7
285,7
286,7
287,7
288,7
289,9
290,7
291,7
292,8
293,8
294,8
295,8
296,1
297,8
298,1
299,8
300,8
301,8
302,0
303,3
304,0
305,11
306,11
307,3
308,0
309,0
310,11
311,11
312,4
313,6
314,6
315,5
316,6
317,5
318,4
319,6
320,6
321,4
322,3
323,3
324,3
325,9
326,9
327,3
328,9
329,11
330,9
331,9
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,9
343,9
344,10
345,9
346,9
347,11
348,11
349,10
350,10
351,0
352,3
353,3
354,3
355,11
356,3
357,3
358,5
359,11
360,5
361,3
