,0
0,3
1,5
2,5
3,1
4,5
5,3
6,6
7,6
8,3
9,1
10,3
11,5
12,6
13,0
14,5
15,2
16,5
17,5
18,6
19,1
20,2
21,1
22,5
23,3
24,1
25,1
26,1
27,1
28,2
29,1
30,3
31,3
32,0
33,1
34,3
35,3
36,6
37,5
38,1
39,4
40,3
41,1
42,5
43,3
44,3
45,6
46,6
47,5
48,4
49,4
50,5
51,3
52,2
53,4
54,3
55,4
56,2
57,6
58,6
59,3
60,5
61,3
62,4
63,5
64,1
65,5
66,3
67,4
68,1
69,1
70,6
71,6
72,3
73,3
74,3
75,2
76,4
77,4
78,2
79,4
80,3
81,3
82,6
83,5
84,1
85,4
86,5
87,1
88,1
89,5
90,5
91,3
92,5
93,1
94,3
95,3
96,5
97,5
98,3
99,1
100,3
101,5
102,6
103,5
104,6
105,6
106,5
107,4
108,6
109,2
110,3
111,5
112,3
113,1
114,6
115,5
116,6
117,4
118,5
119,6
120,5
121,4
122,3
123,4
124,0
125,3
126,3
127,6
128,2
129,4
130,3
131,3
132,3
133,1
134,5
135,1
136,3
137,4
138,6
139,6
140,6
141,5
142,2
143,6
144,3
145,6
146,3
147,1
148,2
149,5
150,1
151,3
152,6
153,3
154,6
155,1
156,1
157,4
158,6
159,5
160,6
161,5
162,0
163,3
164,0
165,1
166,5
167,6
168,6
169,4
170,4
171,1
172,5
173,3
174,1
175,4
176,5
177,3
178,1
179,3
180,1
181,5
182,2
183,0
184,5
185,3
186,3
187,2
188,6
189,3
190,1
191,0
192,5
193,6
194,6
195,5
196,1
197,3
198,4
199,1
200,0
201,3
202,2
203,0
204,3
205,1
206,3
207,5
208,6
209,5
210,0
211,6
212,6
213,3
214,1
215,6
216,1
217,3
218,2
219,5
220,6
221,5
222,2
223,5
224,6
225,6
226,6
227,5
228,4
229,5
230,2
231,2
232,2
233,3
234,1
235,6
236,4
237,3
238,1
239,6
240,1
241,3
242,3
243,3
244,1
245,5
246,6
247,6
248,6
249,1
250,2
251,3
252,3
253,6
254,2
255,1
256,3
257,6
258,3
259,1
260,1
261,5
262,6
263,3
264,6
265,3
266,1
267,3
268,2
269,3
270,2
271,6
272,3
273,4
274,5
275,2
276,3
277,3
278,3
279,4
280,3
281,4
282,4
283,1
284,1
285,4
286,1
287,1
288,5
289,1
290,2
291,3
292,6
293,3
294,6
295,3
296,6
297,5
298,3
299,1
300,2
301,6
302,1
303,3
304,6
305,1
306,6
307,3
308,6
309,6
310,1
311,3
312,6
313,1
314,3
315,6
316,5
317,6
318,3
319,3
320,6
321,0
322,6
323,5
324,2
325,2
326,4
327,3
328,3
329,4
330,3
331,0
332,5
333,5
334,3
335,3
336,4
337,6
338,4
339,2
340,3
341,5
342,6
343,3
344,4
345,5
346,6
347,1
348,3
349,3
350,3
351,5
352,3
353,3
354,3
355,6
356,6
357,3
358,5
359,6
360,3
361,6
362,5
363,1
364,2
365,3
366,6
367,6
368,3
369,3
370,5
371,4
372,4
373,5
374,6
375,6
376,5
377,5
378,3
379,2
380,5
381,5
382,5
383,1
384,6
385,6
386,6
387,4
388,3
389,3
390,3
391,5
392,1
393,2
394,5
395,3
396,6
397,0
398,6
399,4
400,3
401,1
402,1
403,0
404,4
405,1
406,1
407,2
408,3
409,6
410,4
411,1
412,3
413,1
414,6
415,4
416,1
417,6
418,1
419,1
420,6
421,3
422,3
423,6
424,2
425,0
426,5
427,4
428,6
429,3
430,5
431,3
432,6
433,3
434,1
435,3
436,3
437,6
438,3
439,3
440,3
441,3
442,1
443,4
444,1
445,6
446,1
447,1
448,2
449,3
450,3
451,6
452,1
453,3
454,4
455,1
456,3
457,2
458,3
459,6
460,4
461,5
462,4
463,3
464,1
465,2
466,3
467,3
468,6
469,3
470,2
471,3
472,6
473,4
474,1
475,3
476,5
477,3
478,0
479,4
480,4
481,3
482,2
483,1
484,5
485,2
486,4
487,4
488,4
489,6
490,4
491,5
492,3
493,6
494,0
495,5
496,2
497,0
498,5
499,1
500,0
501,6
502,1
503,2
504,6
505,5
506,2
507,4
508,6
509,3
510,2
511,5
512,1
513,3
514,2
515,5
516,6
517,3
518,3
519,3
520,1
521,5
522,2
523,1
524,1
525,4
526,4
527,5
528,6
529,6
530,6
531,3
532,5
533,3
534,2
535,3
536,3
537,3
538,3
539,6
540,6
541,4
542,3
543,5
544,1
545,1
546,2
547,3
548,6
549,5
