,0
0,2
1,11
2,5
3,18
4,11
5,19
6,11
7,5
8,5
9,11
10,12
11,19
12,11
13,21
14,4
15,8
16,14
17,24
18,19
19,4
20,11
21,9
22,23
23,2
24,19
25,11
26,2
27,2
28,16
29,13
30,2
31,2
32,3
33,11
34,11
35,11
36,11
37,2
38,11
39,9
40,9
41,11
42,19
43,13
44,16
45,21
46,7
47,19
48,11
49,2
50,3
51,10
52,19
53,11
54,4
55,22
56,19
57,23
58,16
59,11
60,16
61,19
62,5
63,23
64,11
65,11
66,4
67,11
68,11
69,19
70,11
71,19
72,0
73,2
74,21
75,11
76,5
77,24
78,10
79,11
80,9
81,23
82,11
83,22
84,0
85,19
86,9
87,4
88,13
89,2
90,16
91,3
92,11
93,23
94,8
95,21
96,19
97,12
98,19
99,11
100,24
101,19
102,1
103,14
104,21
105,6
106,2
107,24
108,11
109,1
110,11
111,11
112,8
113,2
114,11
115,23
116,18
117,11
118,11
119,23
120,13
121,21
122,2
123,9
124,5
125,19
126,12
127,4
128,11
129,23
130,2
131,11
132,2
133,11
134,23
135,15
136,6
137,9
138,24
139,3
140,20
141,11
142,9
143,13
144,11
145,21
146,19
147,1
148,11
149,3
150,10
151,5
152,14
153,11
154,14
155,5
156,23
157,11
158,11
159,11
160,13
161,19
162,23
163,23
164,6
165,11
166,19
167,10
168,11
169,23
170,2
171,11
172,11
173,23
174,1
175,11
176,19
177,19
178,11
179,13
180,11
181,19
182,23
183,3
184,12
185,11
186,11
187,7
188,11
189,11
190,16
191,2
192,13
193,11
194,2
195,11
196,9
197,1
198,11
199,19
200,7
201,14
202,11
203,6
204,10
205,16
206,2
207,19
208,19
209,21
210,5
211,15
212,11
213,21
214,24
215,5
216,5
217,0
218,23
219,11
220,1
221,19
222,19
223,11
224,9
225,6
226,11
227,19
228,11
229,23
230,11
231,0
232,19
233,11
234,24
235,23
236,19
237,23
238,23
239,11
240,23
241,11
242,24
243,21
244,14
245,11
246,14
247,23
248,12
249,11
250,2
251,2
252,19
253,1
254,19
255,9
256,16
257,19
258,19
259,1
260,16
261,5
262,11
263,21
264,7
265,19
266,11
267,20
268,11
269,11
270,19
271,5
272,11
273,1
274,4
275,12
276,19
277,14
278,23
279,11
280,12
281,21
282,3
283,11
284,21
285,17
286,21
287,21
288,1
289,5
290,11
291,23
292,11
293,19
294,11
295,2
296,0
297,11
298,11
299,15
300,9
301,1
302,23
303,6
304,23
305,19
306,11
307,14
308,14
309,2
310,11
311,5
312,11
313,11
314,23
315,2
316,11
317,19
318,5
319,21
320,2
321,19
322,14
323,11
324,11
325,11
326,11
327,21
328,11
329,11
330,11
331,19
332,9
333,21
334,23
335,2
336,14
337,4
338,2
339,9
340,6
341,2
342,1
343,2
344,21
345,19
346,12
347,24
348,16
349,7
350,24
351,19
352,11
353,7
354,11
355,2
356,11
357,4
358,7
359,6
360,11
361,9
362,0
363,3
364,11
365,24
366,19
367,18
368,2
369,19
370,5
371,19
372,12
373,16
374,11
375,6
376,14
377,11
378,5
379,11
380,1
381,9
382,11
383,11
384,3
385,23
386,20
387,20
388,19
389,0
390,2
391,1
392,19
393,21
394,11
395,11
396,6
397,23
398,19
399,11
400,23
401,2
402,11
403,21
404,7
405,21
406,11
407,11
408,8
409,11
410,12
411,11
412,11
413,23
414,11
415,6
416,19
417,23
418,2
419,24
420,11
421,0
422,6
423,21
424,11
425,11
426,13
427,5
428,16
429,11
430,11
431,2
432,12
433,11
434,16
435,11
436,5
437,11
438,11
439,21
440,11
441,19
442,7
443,13
444,11
445,18
446,11
447,11
448,22
449,19
450,23
451,10
452,11
453,11
454,12
455,19
456,19
457,2
458,10
459,18
460,7
461,21
462,2
463,5
464,19
465,19
466,16
467,11
468,24
469,19
470,2
471,8
472,21
473,11
474,11
475,19
476,11
477,20
478,11
479,11
480,5
481,11
482,11
483,10
484,1
485,13
486,2
487,6
488,6
489,11
490,1
491,11
492,19
493,11
494,9
495,17
496,19
497,2
498,11
499,24
500,11
501,2
502,16
503,6
504,3
505,12
506,5
507,20
508,23
509,24
510,18
511,18
512,19
513,19
514,11
515,1
516,3
517,11
518,5
519,7
520,11
521,19
522,11
523,11
524,11
525,1
526,19
527,23
528,9
529,21
530,21
531,19
532,11
533,4
534,1
535,11
536,1
537,2
538,16
539,21
540,11
541,9
542,3
543,11
544,6
545,1
546,11
547,16
548,11
549,21
550,5
551,11
552,15
553,23
554,23
555,23
556,19
557,4
558,19
559,16
560,1
561,23
562,9
563,3
564,22
565,19
566,11
567,23
568,19
569,3
570,14
571,11
572,1
573,21
574,7
575,21
576,11
577,22
578,11
579,11
580,19
581,3
582,23
583,2
584,5
585,10
586,14
587,23
588,23
589,11
590,6
591,11
592,2
593,21
594,11
595,19
596,3
597,21
598,23
599,11
600,23
601,11
602,24
603,23
604,11
605,3
606,11
607,24
608,11
609,21
610,11
611,1
612,19
613,11
614,11
615,21
616,4
617,21
618,19
619,2
620,11
621,16
622,23
623,1
624,11
625,13
626,0
627,11
628,19
629,19
630,2
631,15
632,16
633,3
634,12
635,5
636,11
637,11
