,0
0,0
1,1
2,0
3,1
4,0
5,0
6,1
7,0
8,0
9,1
10,0
11,1
12,1
13,1
14,0
15,0
16,0
17,1
18,0
19,1
20,0
21,1
22,1
23,0
24,1
25,0
26,0
27,1
28,0
29,1
30,1
31,0
32,1
33,1
34,0
35,0
36,1
37,0
38,0
39,1
40,1
41,1
42,0
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,0
53,1
54,0
55,1
56,1
57,0
58,0
59,0
60,0
61,1
62,1
63,1
64,0
65,1
66,0
67,1
68,0
69,1
70,1
71,0
72,1
73,0
74,0
75,0
76,1
77,0
78,1
79,1
80,0
81,0
82,1
83,1
84,1
85,1
86,0
87,1
88,0
89,1
90,0
91,0
92,0
93,0
94,1
95,0
96,1
97,1
98,0
99,0
100,1
101,1
102,1
103,0
104,0
105,1
106,1
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,1
115,1
116,0
117,1
118,0
119,0
120,1
121,1
122,0
123,1
124,0
125,1
126,1
127,0
128,1
129,1
130,0
131,1
132,1
133,0
134,0
135,0
136,0
137,1
138,0
139,1
140,0
141,1
142,1
143,1
144,0
145,0
146,0
147,0
148,1
149,0
150,0
151,1
152,1
153,0
154,1
155,0
156,1
157,1
158,0
159,0
160,0
161,0
162,1
163,0
164,1
165,0
166,1
167,1
168,0
169,0
170,0
171,1
172,0
173,0
174,1
175,0
176,1
177,1
178,0
179,0
180,0
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,0
190,0
191,1
192,1
193,1
194,0
195,0
196,1
197,1
198,1
199,0
200,0
201,0
202,1
203,1
204,1
205,1
206,0
207,1
208,1
209,0
210,1
211,1
212,0
213,1
214,1
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,1
226,0
227,1
228,1
229,1
230,0
231,1
232,1
233,1
234,0
235,1
236,1
237,0
238,0
239,1
240,1
241,1
242,1
243,0
244,0
245,1
246,1
247,0
248,1
249,1
250,1
251,1
252,1
253,0
254,1
255,1
256,1
257,0
258,1
259,0
260,1
261,0
262,1
263,0
264,1
265,0
266,0
267,0
268,0
269,1
270,1
271,0
272,1
273,0
274,0
275,0
276,1
277,0
278,1
279,1
280,1
281,1
282,1
283,0
284,0
285,0
286,0
287,0
288,1
289,1
290,1
291,0
292,0
293,1
294,1
295,0
296,0
297,1
298,0
299,1
300,0
301,1
302,1
303,1
304,1
305,0
306,0
307,0
308,1
309,0
310,0
311,1
312,1
313,1
314,0
315,1
316,1
317,0
318,1
319,0
320,0
321,1
322,1
323,0
324,0
325,1
326,1
327,1
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,1
336,0
337,1
338,0
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,0
347,0
348,0
349,0
350,1
351,0
352,1
353,1
354,0
355,1
356,1
357,1
358,1
359,0
360,0
361,0
362,1
363,1
364,1
365,0
366,1
367,1
368,1
369,1
370,0
371,0
372,0
373,0
374,1
375,0
376,0
377,1
378,1
379,0
380,1
381,1
382,0
383,1
384,1
385,1
386,0
387,0
388,1
389,0
390,0
391,0
392,1
393,1
394,0
395,1
396,0
397,1
398,0
399,0
400,1
401,1
402,1
403,0
404,0
405,1
406,0
407,1
408,1
409,1
410,1
411,0
412,0
413,1
414,0
415,0
416,1
417,1
418,0
419,0
420,0
421,0
422,1
423,0
424,0
425,0
426,1
427,1
428,0
429,1
430,1
431,1
432,0
433,1
434,0
435,0
436,0
437,1
438,1
439,1
440,0
441,1
442,1
443,0
444,0
445,1
446,1
447,0
448,1
449,1
450,0
451,1
452,1
453,1
454,1
455,0
456,1
457,1
458,0
459,0
460,0
461,0
462,1
463,1
464,0
465,1
466,1
467,1
468,0
469,0
470,0
471,1
472,0
473,1
474,1
475,1
476,1
477,0
478,1
479,0
480,1
481,0
482,1
483,0
484,1
485,0
486,1
487,1
488,1
489,1
490,1
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,1
499,1
500,0
501,0
502,1
503,1
504,0
505,0
506,1
507,0
508,0
509,0
510,0
511,0
512,1
513,0
514,0
515,1
516,1
517,0
518,1
519,1
520,0
521,1
522,0
523,0
524,0
525,0
526,0
527,1
528,0
529,0
530,0
531,0
532,1
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,1
541,0
542,1
543,0
544,0
545,0
546,1
547,0
548,1
549,0
550,1
551,0
552,1
553,0
554,1
555,1
556,1
557,0
558,1
559,1
560,1
561,1
562,0
563,0
564,1
565,0
566,1
567,0
568,0
569,1
570,0
571,0
572,1
573,1
574,1
575,0
576,1
577,0
578,1
579,1
580,1
581,0
582,0
583,1
584,0
585,1
586,1
587,0
588,1
589,1
590,1
591,1
592,1
593,0
594,0
595,0
596,0
597,0
598,0
599,1
600,1
601,1
602,0
603,0
604,1
605,1
606,1
607,1
608,1
609,0
610,1
611,1
612,0
613,0
614,0
615,1
616,1
617,1
618,1
619,1
620,0
621,0
622,1
623,1
624,0
625,0
626,0
627,1
628,1
629,0
630,0
631,1
632,0
633,1
634,0
635,1
636,1
637,0
638,0
639,0
640,0
641,1
642,1
643,1
644,1
645,0
646,0
647,1
648,1
649,0
650,1
651,1
652,0
653,0
654,0
655,0
656,1
657,1
658,0
659,0
660,1
661,1
662,1
663,0
664,1
665,0
666,1
667,0
668,1
669,0
670,1
671,0
672,1
673,0
674,1
675,1
676,1
677,1
678,1
679,0
680,1
681,0
682,1
683,1
684,1
685,1
686,1
687,0
688,1
689,0
690,1
691,1
692,0
693,0
694,0
695,1
696,1
697,0
698,1
699,0
700,0
701,0
702,1
703,1
704,0
705,0
706,0
707,1
708,0
709,1
710,0
711,1
712,1
713,0
714,1
715,1
716,1
717,0
718,1
719,0
720,0
721,0
722,0
723,0
724,1
725,1
726,1
727,1
728,0
729,1
730,0
731,1
732,1
733,0
734,1
735,0
736,0
737,0
738,1
739,1
740,1
741,0
742,0
743,1
744,0
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,0
753,1
754,1
755,0
756,1
757,0
758,0
759,1
760,1
761,0
762,1
763,1
764,1
765,1
766,0
767,1
768,0
769,1
770,1
771,1
772,0
773,0
774,1
775,1
776,1
777,1
778,0
779,0
780,0
781,0
782,1
783,1
784,0
785,1
786,0
787,1
788,1
789,0
790,1
791,1
792,1
793,1
794,1
795,0
796,0
797,0
798,1
799,1
800,0
801,0
802,0
803,1
804,1
805,1
806,0
807,0
808,0
809,0
810,0
811,1
812,1
813,0
814,0
815,1
816,1
817,0
818,1
819,0
820,0
821,1
822,1
823,1
824,1
825,1
826,0
827,1
828,0
829,1
830,0
831,0
832,0
833,1
834,0
835,0
836,1
837,0
838,0
839,1
840,0
841,1
842,0
843,1
844,0
845,1
846,0
847,1
848,1
849,1
850,1
851,0
852,1
853,0
854,1
855,1
856,1
857,1
858,0
859,1
860,1
861,0
862,0
863,1
864,1
865,1
866,0
867,0
868,1
869,0
870,0
871,1
872,1
873,0
874,1
875,1
876,1
877,0
878,0
879,1
880,1
881,1
882,1
883,1
884,0
885,0
886,1
887,0
888,1
889,0
890,1
891,1
892,0
893,0
894,0
895,1
896,1
897,0
898,1
899,1
900,0
901,1
902,0
903,0
904,0
905,1
906,1
907,0
908,0
909,0
910,0
911,1
912,1
913,0
914,0
915,0
916,0
917,0
918,1
919,0
920,0
921,1
922,1
923,1
924,0
925,1
926,1
927,0
928,1
929,1
930,0
931,0
932,0
933,1
934,1
935,0
936,0
937,1
938,1
939,1
940,0
941,0
942,1
943,0
944,1
945,0
946,1
947,0
948,1
949,0
950,1
951,1
952,1
953,0
954,1
955,0
956,0
957,0
958,1
959,0
960,1
961,0
962,0
963,0
964,1
965,1
966,0
967,0
968,0
969,0
970,1
971,0
972,1
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,1
983,1
984,0
985,0
986,1
987,1
988,1
989,1
990,0
991,1
992,1
993,1
994,1
995,0
996,0
997,0
998,1
999,0
1000,0
1001,1
1002,1
1003,0
1004,0
1005,1
1006,0
1007,1
1008,1
1009,1
1010,1
1011,0
1012,0
1013,1
1014,1
1015,1
1016,0
1017,1
1018,0
1019,1
1020,0
1021,0
1022,0
1023,1
1024,0
1025,1
1026,0
1027,1
1028,0
1029,0
1030,1
1031,1
1032,0
1033,1
1034,0
1035,0
1036,1
1037,0
1038,0
1039,1
1040,0
1041,0
1042,1
1043,1
1044,1
1045,1
1046,1
1047,1
1048,0
1049,0
1050,1
1051,0
1052,0
1053,0
1054,0
1055,1
1056,0
1057,0
1058,0
1059,0
1060,1
