,0
0,0
1,2
2,0
3,2
4,0
5,0
6,0
7,2
8,2
9,1
10,0
11,0
12,0
13,0
14,0
15,2
16,2
17,1
18,0
19,2
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,1
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,2
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,2
53,0
54,0
55,1
56,0
57,2
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,2
66,0
67,1
68,0
69,1
70,1
71,0
72,1
73,2
74,1
75,1
76,1
77,1
78,1
79,0
80,1
81,0
82,0
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,2
112,1
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,2
123,2
124,2
125,2
126,2
127,1
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,1
141,1
142,2
143,2
144,1
145,2
146,2
147,2
148,2
149,0
150,2
151,2
152,2
153,1
154,2
155,0
156,2
157,1
158,2
159,2
160,2
161,0
162,2
163,1
164,2
165,2
166,2
167,2
168,1
169,1
170,2
171,1
172,2
173,2
174,2
