,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,1
16,2
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,1
71,0
72,0
73,1
74,1
75,1
76,1
77,1
78,1
79,0
80,1
81,1
82,0
83,1
84,1
85,2
86,1
87,0
88,0
89,1
90,2
91,0
92,1
93,1
94,1
95,0
96,2
97,2
98,1
99,1
100,0
101,1
102,1
103,1
104,1
105,1
106,1
107,2
108,1
109,1
110,1
111,0
112,0
113,1
114,1
115,1
116,2
117,0
118,0
119,1
120,2
121,1
122,1
123,1
124,2
125,1
126,1
127,1
128,1
129,0
130,2
131,1
132,2
133,2
134,1
135,1
136,1
137,1
138,2
139,2
140,1
141,1
142,2
143,2
144,1
145,2
146,1
147,2
148,1
149,1
150,1
151,2
152,2
153,1
154,1
155,0
156,2
157,2
158,2
159,2
160,1
161,0
162,2
163,1
164,1
165,2
166,2
167,1
168,1
169,0
170,1
171,1
172,1
173,2
174,1
