,0
0,0
1,0
2,0
3,0
4,0
5,2
6,0
7,2
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,2
16,1
17,0
18,0
19,0
20,2
21,0
22,0
23,0
24,2
25,2
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,2
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,2
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,2
53,2
54,0
55,2
56,0
57,2
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,1
71,0
72,0
73,1
74,1
75,1
76,0
77,2
78,1
79,0
80,0
81,1
82,0
83,1
84,1
85,2
86,0
87,0
88,0
89,1
90,2
91,0
92,2
93,1
94,1
95,0
96,2
97,2
98,2
99,1
100,0
101,1
102,2
103,0
104,2
105,0
106,2
107,2
108,2
109,2
110,2
111,0
112,0
113,1
114,2
115,2
116,2
117,0
118,0
119,0
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,0
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,1
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,1
154,2
155,0
156,2
157,2
158,2
159,2
160,2
161,0
162,2
163,2
164,2
165,2
166,2
167,2
168,1
169,2
170,2
171,1
172,2
173,2
174,1
